name_P,H3k4me3_P
chr1_1051641_1052741,3.727092
chr1_1101484_1102584,5.8222879999999995
chr1_1141971_1143071,3.4903845000000002
chr1_1149418_1150518,3.2638499999999997
chr1_1166629_1167729,10.305098
chr1_1167311_1168411,10.305098
chr1_1186614_1187714,3.6680410000000006
chr1_1209165_1210265,9.595939
chr1_1209603_1210703,9.595939
chr1_1242947_1244047,9.628917
chr1_1244889_1245989,9.628917
chr1_1259136_1260236,7.665975
chr1_1259971_1261071,7.665975
chr1_1284630_1285730,7.92303
chr1_1310775_1311875,7.687251
chr1_1333902_1335002,14.120741
chr1_1334608_1335708,14.120741
chr1_1341032_1342132,10.131813000000001
chr1_1342593_1343693,10.131813000000001
chr1_1343476_1344576,10.131813000000001
chr1_1357049_1358149,3.141872
chr1_1369241_1370341,3.7740339999999994
chr1_1369853_1370953,3.7740339999999994
chr1_1406143_1407243,5.034635
chr1_1446531_1447631,8.218535000000001
chr1_1475733_1476833,7.748310000000001
chr1_1509355_1510455,13.883991
chr1_1510149_1511249,13.883991
chr1_1535376_1536476,3.252643
chr1_1549795_1550895,7.739878999999999
chr1_1551075_1552175,7.739878999999999
chr1_1589786_1590886,3.9818339999999997
chr1_1590373_1591473,3.9818339999999997
chr1_1654951_1656051,11.825738999999999
chr1_1655666_1656766,7.890556500000001
chr1_1711796_1712896,9.288478
chr1_1821910_1823010,7.889272999999999
chr1_1822395_1823495,7.889272999999999
chr1_1850612_1851712,3.9289959999999997
chr1_1980909_1982009,8.394208
chr1_1981409_1982509,7.186641
chr1_2120237_2121337,5.6379150000000005
chr1_2143913_2145013,6.644686
chr1_2144059_2145159,6.644686
chr1_2159134_2160234,6.716353999999999
chr1_2322267_2323367,8.423813
chr1_2323046_2324146,8.423813
chr1_2345136_2346236,7.813777
chr1_2457939_2459039,8.626412
chr1_2461584_2462684,3.364028
chr1_2476904_2478004,7.6635860000000005
chr1_2486078_2487178,9.113705
chr1_2488370_2489470,9.113705
chr1_2511999_2513099,6.89456475
chr1_2516930_2518030,6.679703999999999
chr1_3540566_3541666,7.107309
chr1_3541207_3542307,7.107309
chr1_3568084_3569184,5.079768
chr1_3569225_3570325,5.079768
chr1_3585236_3586336,5.079768
chr1_713150_714250,4.8638
chr1_713906_715006,4.8638
chr1_761988_763088,5.549037
chr1_762802_763902,5.549037
chr1_894589_895689,7.5659089999999996
chr1_894967_896067,7.5659089999999996
chr1_900877_901977,5.447851999999999
chr1_935452_936552,6.490989
chr1_947803_948903,13.106887
chr1_948473_949573,13.106887
chr1_954503_955603,7.261456000000001
chr1_994114_995214,5.510545
chr1_998568_999668,5.272549
