name_E,H3k27me3_E
chr10_2951238_2951396,2.49158
chr10_3078434_3078646,3.43746
chr10_3807382_3807563,3.66969
chr10_4003377_4003614,2.9466
chr10_4034997_4035363,3.0361
chr10_4248027_4248358,3.06751
chr10_5339443_5339719,2.9914
chr1_1005293_1005547,2.38727
chr1_101000887_101001063,1.93387
chr1_101774729_101775525,2.71139
chr1_10261395_10261566,3.80376
chr1_103572619_103572906,3.54728
chr1_10853986_10854555,2.35342
chr1_110406868_110407271,3.48474
chr1_110451717_110451917,2.68623
chr1_110626726_110627062,2.01248
chr1_110672728_110673048,2.13279
chr1_111162611_111162919,2.39725
chr1_111163364_111163623,2.39725
chr1_111170436_111170835,2.48803
chr1_111329904_111330079,2.93626
chr1_11415566_11415939,2.33301
chr1_11559549_11559947,2.73356
chr1_116370977_116371565,3.74046
chr1_116520279_116520650,3.19578
chr1_117280613_117280924,2.94507
chr1_117281390_117281752,2.94507
chr1_11761755_11762049,2.05895
chr1_118792385_118792801,2.81389
chr1_119503304_119503581,3.10121
chr1_12124472_12125118,2.68303
chr1_12210430_12211346,3.3658
chr1_12227833_12229578,2.72508
chr1_12681925_12682190,2.27013
chr1_142538903_142539547,2.75689
chr1_144533627_144534178,3.34664
chr1_145023690_145024549,3.20084
chr1_145058996_145059322,2.97833
chr1_147806841_147807184,2.16438
chr1_149215297_149215704,2.57942
chr1_14926383_14926731,2.29346
chr1_151249767_151250096,3.14133
chr1_151485676_151485841,2.66919
chr1_151486181_151486300,2.66919
chr1_154166147_154166533,2.71302
chr1_15416988_15417263,2.58086
chr1_154359135_154359469,2.57759
chr1_154405181_154405498,2.86524
chr1_154731745_154732111,2.55285
chr1_154914634_154915296,2.91728
chr1_155098409_155098801,2.19564
chr1_156118146_156118395,2.30645
chr1_156586355_156586564,2.18434
chr1_156781780_156782101,1.87454
chr1_156805999_156806129,1.7335
chr1_157248443_157248858,3.08425
chr1_157249264_157249609,3.08425
chr1_159111772_159112137,3.01809
chr1_159142876_159143043,2.8648
chr1_159158093_159158524,3.16071
chr1_159914077_159914586,1.91279
chr1_160345693_160345986,2.27576
chr1_160615019_160615411,2.92145
chr1_160711095_160711588,2.95773
chr1_160989381_160990254,3.10306
chr1_16156384_16156536,3.10365
chr1_161709776_161710006,3.41634
chr1_165204752_165205122,4.03082
chr1_165205285_165205518,4.03082
chr1_16553276_16553594,2.61617
chr1_167423404_167424221,2.18347
chr1_167424728_167425462,2.18347
chr1_167425853_167426232,2.18347
chr1_167442775_167443139,2.53025
chr1_167485764_167486128,2.38591
chr1_167486210_167486705,2.38591
chr1_167570801_167571053,2.54862
chr1_168368318_168368620,3.25923
chr1_168446219_168446589,4.17817
chr1_17019394_17019738,1.70486
chr1_17027024_17027386,1.64421
chr1_17411505_17411663,2.2312
chr1_177150553_177151051,3.54842
chr1_178550500_178550885,2.89309
chr1_179555221_179555646,2.25679
chr1_181074349_181074924,3.04733
chr1_181451162_181451821,2.28663
chr1_181454376_181454805,2.28663
chr1_184005350_184005919,3.22284
chr1_185374355_185374736,2.95638
chr1_185389788_185390210,2.32044
chr1_192876755_192877567,3.68364
chr1_200849437_200849683,2.3727
chr1_201987611_201988279,2.33391
chr1_202016172_202016526,2.60953
chr1_202055098_202055409,2.52997
chr1_202217450_202217807,1.91416
chr1_203293246_203293605,2.04425
chr1_203294160_203294623,2.04425
chr1_203397707_203397716,2.15417
chr1_203732858_203733184,2.69063
chr1_204432329_204432499,2.76695
chr1_204653343_204653636,2.095
chr1_204684045_204684323,2.32929
chr1_204700209_204700421,2.38121
chr1_205442172_205442546,2.41911
chr1_206260548_206260903,2.21646
chr1_206272966_206273628,2.37256
chr1_206290243_206290662,2.28941
chr1_20693127_20693202,2.07789
chr1_207598053_207598267,3.28376
chr1_207823430_207823599,2.78445
chr1_208085821_208086214,2.56721
chr1_2082729_2083012,2.52956
chr1_209827285_209827712,2.83025
chr1_209930112_209930553,2.53989
chr1_209930913_209931012,2.53989
chr1_209978699_209978810,2.61947
chr1_210425971_210426288,2.16488
chr1_210468396_210468551,2.27517
chr1_211780151_211780642,2.77326
chr1_211912030_211912428,3.37427
chr1_212705777_212706412,2.84159
chr1_213101984_213102303,2.91925
chr1_214157858_214157941,2.02939
chr1_214162828_214163073,2.12854
chr1_21724067_21724372,3.22634
chr1_218642170_218642366,3.17408
chr1_21876659_21877005,2.69151
chr1_220865094_220865145,2.51469
chr1_221340978_221341184,3.10937
chr1_223351179_223351462,2.54899
chr1_226189681_226190319,4.00943
chr1_226190534_226190731,4.00943
chr1_226219862_226220210,2.67159
chr1_226737265_226737393,2.41792
chr1_228633222_228633907,2.56291
chr1_228634060_228634141,2.56291
chr1_228783266_228783899,2.93483
chr1_228962635_228963190,3.38436
chr1_228972324_228972426,2.4062
chr1_229290455_229290569,2.29697
chr1_229335784_229335916,2.85098
