name_E,H3k27ac_E
chr10_1100843_1101035,12.713523
chr10_2159978_2160127,9.337827
chr10_2256285_2256680,11.4683685
chr10_3133662_3133717,13.515794
chr10_3137708_3138098,13.515794
chr10_3145163_3145536,10.011678
chr10_3497590_3497951,13.354945999999998
chr10_3509617_3509911,48.909959
chr10_3510310_3510716,48.909959
chr10_3511181_3511689,48.909959
chr10_3524547_3524820,8.88762
chr10_3528683_3528786,8.601184
chr10_3542742_3543014,5.647818
chr10_3568141_3568290,4.996007
chr10_3710838_3711066,12.58215
chr10_3782727_3783283,14.299370999999999
chr10_3797195_3797502,20.708938
chr10_3800307_3800531,20.708938
chr10_3807382_3807563,15.742780999999999
chr10_3845250_3845852,51.162048
chr10_3845999_3846426,51.162048
chr10_3846443_3847038,51.162048
chr10_3848037_3849536,51.162048
chr10_3850308_3850795,51.162048
chr10_3852273_3852886,51.162048
chr10_3853393_3854169,51.162048
chr10_3856317_3856712,51.162048
chr10_3867491_3867713,11.031983
chr10_3870489_3871262,12.336155
chr10_3893365_3894190,23.973162
chr10_3917358_3918120,5.365485
chr10_3928866_3929216,19.334107
chr10_3929991_3930887,19.334107
chr10_3932191_3932411,19.334107
chr10_3944367_3944901,3.428486
chr10_4172866_4173257,11.071195
chr10_4173688_4174411,11.071195
chr10_4289203_4289519,26.173991
chr10_4358748_4358982,12.73799
chr10_4386754_4387085,20.309215
chr10_4396174_4396330,21.025117
chr10_4685784_4686138,16.533314
chr10_4705159_4705783,16.533314
chr10_4711881_4712067,16.533314
chr10_4712833_4713220,16.533314
chr10_4728868_4729211,16.533314
chr10_4813646_4813900,28.059593
chr10_4855217_4855416,6.519272
chr10_4891874_4892173,4.884355
chr10_4989909_4990226,10.983260000000001
chr10_5113786_5114179,9.335479
chr10_5333644_5334212,35.478511
chr10_5334474_5334640,35.478511
chr10_5336164_5336286,12.723821000000001
chr10_5359534_5359986,13.6191125
chr10_5576341_5576485,18.907891
chr10_5577499_5577735,18.907891
chr10_5587810_5588190,40.985346
chr10_5588881_5589169,40.985346
chr10_5590010_5590295,40.985346
chr10_5590959_5591270,40.985346
chr10_5593718_5593999,40.985346
chr10_5596279_5596669,40.985346
chr10_5607602_5608000,46.837379999999996
chr10_5638863_5639270,28.228447999999997
chr1_100113534_100114036,13.518710999999998
chr1_10127211_10127315,12.940453999999999
chr1_1014834_1015095,8.551219999999999
chr1_101725356_101725679,6.544511
chr1_10269964_10270260,13.86755
chr1_10556105_10556527,19.363432999999997
chr1_10557233_10557456,19.363432999999997
chr1_10558276_10558621,19.363432999999997
chr1_10695291_10695734,19.553304999999998
chr1_10804844_10805001,4.6082019999999995
chr1_108479405_108480123,11.071239999999998
chr1_108741685_108742156,8.648956
chr1_109133637_109134097,4.431641
chr1_109246671_109246905,4.465278
chr1_109262615_109262764,15.803588000000001
chr1_1093610_1093958,10.401612
chr1_10960432_10960567,8.250739
chr1_109800134_109800539,10.840683
chr1_109841804_109842152,7.786375
chr1_109842394_109842833,7.786375
chr1_109913179_109913623,3.4734160000000003
chr1_110160052_110160461,11.577478
chr1_110335775_110336041,9.111889
chr1_110420039_110420145,5.118448
chr1_110537379_110537528,3.542764
chr1_110879130_110879445,16.023688
chr1_111735402_111735659,11.838330000000001
chr1_111735691_111736003,12.5195925
chr1_111757482_111757860,12.025153999999999
chr1_112135698_112135869,7.632039
chr1_112163412_112163797,9.592962
chr1_112163826_112164071,9.592962
chr1_113086746_113087141,12.714053
chr1_113584893_113585079,9.200055
chr1_11376903_11377179,9.130771000000001
chr1_114575620_114575801,7.119198
chr1_114665635_114666029,4.671222
chr1_115052481_115052766,11.849738
chr1_115605190_115605611,10.204861999999999
chr1_115605746_115606114,10.894734333333332
chr1_115709526_115709713,8.941892
chr1_115732772_115733197,10.95032
chr1_116039640_116039989,6.277912000000001
chr1_116088478_116088732,17.211681
chr1_116221756_116221883,4.523409
chr1_116291091_116291334,4.797661
chr1_116520279_116520650,18.459366
chr1_116878887_116879201,3.026984
chr1_116918925_116919548,20.370397
chr1_116920378_116921129,20.370397
chr1_117030831_117031034,5.000425
chr1_117032033_117032296,5.000425
chr1_117047053_117047428,4.433014
chr1_117050808_117051139,13.575125
chr1_117051576_117051921,13.575125
chr1_117080047_117080432,9.169696
chr1_117081238_117081452,9.169696
chr1_117082797_117083071,9.169696
chr1_117100772_117101124,13.477739999999999
chr1_117112460_117112738,12.069816000000001
chr1_1173386_1173736,9.135154
chr1_117363043_117363386,8.431378
chr1_117421623_117422020,17.618879999999997
chr1_117422443_117422644,17.618879999999997
chr1_117424835_117425013,17.618879999999997
chr1_117533270_117533527,7.828692
chr1_11968510_11969143,22.208426
chr1_11990003_11990329,10.075692
chr1_120255895_120256325,13.05899
chr1_120530787_120531205,6.317472
chr1_12193120_12193399,9.282193
chr1_12533412_12533678,1.896184
chr1_12546528_12546819,1.896184
chr1_12609717_12610039,10.713061
chr1_12675687_12675874,16.760612
chr1_1295535_1296332,3.5122760000000004
chr1_142538903_142539547,5.44337
chr1_144533627_144534178,10.449172
chr1_144536201_144536370,10.449172
chr1_144908312_144908601,15.467278333333333
chr1_144908806_144909147,15.467278333333333
chr1_144927217_144927550,13.686082
chr1_144986415_144987071,8.632707
chr1_144987154_144987391,8.632707
chr1_144988079_144988414,8.632707
chr1_145009158_145009716,7.73573
chr1_145023690_145024549,8.584074999999999
chr1_145042783_145043227,13.952236
chr1_145054975_145055306,2.31165
chr1_145058996_145059322,2.31165
chr1_145064438_145064839,2.31165
chr1_145090155_145090603,7.907447
chr1_145092450_145092883,9.165880999999999
chr1_145113904_145114998,23.630203
chr1_145226678_145226829,14.220432999999998
chr1_145437595_145437817,16.054663
chr1_145454760_145454851,15.903443
chr1_145455122_145455741,15.903443
chr1_146764405_146764804,6.622741
chr1_147775754_147775884,11.14631
chr1_147806841_147807184,16.779695999999998
chr1_148000699_148000802,8.833905
chr1_14843752_14844090,5.250442
chr1_149215297_149215704,8.6498655
chr1_149981648_149981889,15.640970000000001
chr1_150135231_150135764,9.922702000000001
chr1_150185878_150186128,14.949685999999998
chr1_150294873_150295138,13.48755
chr1_150577042_150577503,15.464347
chr1_150585815_150586394,23.523571
chr1_150592182_150592667,10.02148
chr1_15059594_15059681,20.077241
chr1_150600412_150600701,10.02148
chr1_150949569_150950014,6.601928
chr1_151166314_151166527,18.005925
chr1_151168297_151168505,18.005925
chr1_151172142_151172526,18.005925
chr1_151172620_151173197,18.005925
chr1_151284018_151284391,14.989446
chr1_151485676_151485841,10.574936
chr1_151486181_151486300,10.574936
chr1_151809390_151809745,12.91734
chr1_151913142_151913275,27.57375
chr1_151913574_151913780,27.57375
chr1_151913815_151914271,27.57375
chr1_151916920_151917624,27.57375
chr1_151918898_151919222,27.57375
chr1_151945068_151945221,18.604307000000002
chr1_151960875_151961433,18.604307000000002
chr1_151961675_151962369,18.604307000000002
chr1_151968368_151968560,18.604307000000002
chr1_152006910_152007460,28.673308000000002
chr1_152007615_152008057,28.673308000000002
chr1_152010545_152011004,28.673308000000002
chr1_152022022_152022514,29.468801000000003
chr1_152137288_152137323,5.774358
chr1_15240254_15240560,10.548485000000001
chr1_153358841_153359368,5.785586
chr1_153488459_153488748,6.532426
chr1_153504746_153504953,15.656951999999999
chr1_153541018_153541368,42.36052
chr1_153545866_153546049,9.433722999999999
chr1_153583449_153583810,23.418141000000002
chr1_153936554_153936861,14.951595999999999
chr1_154154606_154155027,17.849972
chr1_154299137_154299452,3.103623
chr1_154391539_154392211,11.372835
chr1_154392646_154393050,11.372835
chr1_154404273_154404562,16.680007
chr1_154405181_154405498,16.680007
chr1_154579303_154579782,13.188094
chr1_154582047_154582244,13.188094
chr1_154910155_154910399,30.771057
chr1_154972628_154972915,6.676705999999999
chr1_154973036_154973200,6.676705999999999
chr1_154973335_154973935,6.676705999999999
chr1_154977099_154977253,6.676705999999999
chr1_154978035_154978657,6.676705999999999
chr1_155098409_155098801,11.74943
chr1_155620238_155620623,16.388088
chr1_155944562_155945214,9.800241
chr1_155945743_155946196,9.800241
chr1_155946363_155946660,9.800241
chr1_156066868_156067143,7.848935000000001
chr1_156073142_156073699,23.278633
chr1_156073854_156074351,23.278633
chr1_156074715_156075305,23.278633
chr1_156089405_156089622,28.831063
chr1_156095033_156095181,28.831063
chr1_156251648_156251762,9.326055
chr1_156426931_156427503,9.114559
chr1_156468556_156468776,15.014636999999999
chr1_156472693_156472952,15.014636999999999
chr1_156473111_156473378,15.014636999999999
chr1_156474686_156475018,15.014636999999999
chr1_156541089_156541488,10.864917
chr1_156629760_156630406,10.923957000000001
chr1_156718467_156719136,41.588635
chr1_156719450_156719815,41.588635
chr1_157106691_157107326,13.274945
chr1_15738146_15738632,7.868494999999999
chr1_15738661_15738986,7.868494999999999
chr1_15742467_15743324,7.782782000000001
chr1_157938818_157938961,11.556465
chr1_157964633_157965029,5.440551999999999
chr1_157980631_157980890,11.255474000000001
chr1_157989414_157989935,16.0911425
chr1_158117571_158117948,17.003360999999998
chr1_158147244_158147839,7.615187
chr1_158970513_158970716,6.889817
chr1_158982200_158982857,14.362578
chr1_15946733_15946892,13.835626999999999
chr1_159851477_159851987,4.465584
chr1_159859603_159860031,7.944145000000001
chr1_159880076_159880706,11.658862
chr1_159892447_159892988,25.036026
chr1_159914077_159914586,11.707013499999999
chr1_16007283_16007579,24.700329999999997
chr1_16030221_16030623,10.412684
chr1_160377718_160378261,9.242082
chr1_160696081_160696317,10.632552
chr1_160737478_160737714,10.215931
chr1_16087189_16087372,9.250117999999999
chr1_160982920_160983992,20.399666
chr1_160989381_160990254,28.448781
chr1_161037907_161038726,5.636076999999999
chr1_161050902_161051096,8.657045
chr1_161052363_161052546,8.657045
chr1_161170260_161170636,19.521984
chr1_161170933_161171185,19.521984
chr1_16125579_16125747,21.753419
chr1_161352257_161352597,10.264211999999999
chr1_161359666_161360218,12.770958
chr1_161500608_161500899,6.476255500000001
chr1_161502624_161502920,1.918037
chr1_16156384_16156536,19.752481
chr1_161582212_161582506,5.90303
chr1_161706477_161706712,6.935841
chr1_16176617_16176801,35.696189000000004
chr1_16212759_16213091,7.757288000000001
chr1_162508612_162508929,19.353081
chr1_162511455_162511984,10.016438
chr1_162518132_162518252,10.124066000000001
