name_P,H3k4me2_P
chr1_1009587_1010687,8.464715000000002
chr1_1051641_1052741,7.314953
chr1_1166629_1167729,7.680880999999999
chr1_1167311_1168411,7.680880999999999
chr1_1209165_1210265,5.7795905
chr1_1209603_1210703,5.7795905
chr1_1214816_1215916,2.351753
chr1_1242947_1244047,10.465375
chr1_1244889_1245989,10.465375
chr1_1253969_1255069,3.275262
chr1_1259136_1260236,9.1536315
chr1_1259971_1261071,10.714332
chr1_1265694_1266794,6.4043529999999995
chr1_1284630_1285730,7.5073574999999995
chr1_1310775_1311875,8.043939
chr1_1333902_1335002,11.774706
chr1_1334608_1335708,11.774706
chr1_1341032_1342132,9.251891
chr1_1342593_1343693,9.862409
chr1_1343476_1344576,9.862409
chr1_1406143_1407243,9.822826
chr1_1446531_1447631,15.064036999999999
chr1_1509355_1510455,9.035926
chr1_1510149_1511249,9.035926
chr1_1549795_1550895,8.874816000000001
chr1_1551075_1552175,8.874816000000001
chr1_1589786_1590886,7.091995
chr1_1624067_1625167,8.983956
chr1_1654951_1656051,7.691319
chr1_1711796_1712896,5.127877
chr1_1821910_1823010,7.290877500000001
chr1_1822395_1823495,8.646734
chr1_1850612_1851712,3.193706
chr1_1980909_1982009,8.79702
chr1_1981409_1982509,8.1732815
chr1_2142962_2144062,7.0676570000000005
chr1_2143913_2145013,7.0676570000000005
chr1_2144059_2145159,7.0676570000000005
chr1_2145520_2146620,7.0676570000000005
chr1_2159134_2160234,9.427316000000001
chr1_2322267_2323367,7.819356
chr1_2323046_2324146,7.819356
chr1_2345136_2346236,6.826461999999999
chr1_2424597_2425697,6.6469830000000005
chr1_2425818_2426918,6.6469830000000005
chr1_2457939_2459039,7.595548
chr1_2476904_2478004,9.675707
chr1_2516930_2518030,12.085547
chr1_28554_29654,5.308811
chr1_3369990_3371090,6.052112999999999
chr1_3540566_3541666,7.116497
chr1_3541207_3542307,7.116497
chr1_3585236_3586336,4.2147760000000005
chr1_713150_714250,9.076147500000001
chr1_713906_715006,6.9578185
chr1_761988_763088,6.896392999999999
chr1_856296_857396,3.7938410000000005
chr1_859260_860360,3.7938410000000005
chr1_900877_901977,5.308733
chr1_933331_934431,7.25793
chr1_935452_936552,9.904401
chr1_947803_948903,8.975464
chr1_948473_949573,8.975464
chr1_954503_955603,7.091995
chr1_994114_995214,5.100814
chr1_998568_999668,6.019658
