name_E,DNaseI_E
chr1_1005293_1005547,29.0
chr1_1014834_1015095,153.0
chr1_1136667_1137146,35.5
chr1_1143531_1144198,50.0
chr1_1173386_1173736,26.0
chr1_1295535_1296332,70.0
chr1_1368471_1368786,99.0
chr1_1714020_1714715,37.0
chr1_1840449_1840835,99.5
chr1_2162325_2162996,20.0
chr1_2171824_2171946,20.0
chr1_2177615_2177829,48.0
chr1_2221868_2222548,19.0
chr1_2246556_2246763,51.0
chr1_2253622_2253773,57.0
chr1_2254081_2254230,24.0
chr1_2478276_2478817,134.0
chr1_2509702_2510198,29.0
chr1_2574343_2574764,100.5
chr1_3229711_3230157,37.5
chr1_3420761_3421065,85.0
chr1_3463934_3464260,28.0
chr1_3581269_3581645,23.0
chr1_3620035_3620325,74.0
chr1_3634737_3634863,33.0
chr1_3817648_3818071,116.0
chr1_6336471_6336830,48.0
chr1_6360191_6360625,68.0
chr1_6362597_6362955,48.0
chr1_6661008_6661639,107.5
chr1_7327634_7328033,29.0
chr1_7359415_7359679,49.0
chr1_7461964_7462325,190.0
chr1_7531062_7531540,251.0
chr1_7551468_7551846,24.0
chr1_858256_858648,20.0
chr1_941791_942135,33.0
chr1_956563_956812,45.0
