name_P,H3k27ac_P
chr1_1166629_1167729,13.109047
chr1_1167311_1168411,13.109047
chr1_1209165_1210265,12.940961999999999
chr1_1242947_1244047,4.0540199999999995
chr1_1244889_1245989,4.0540199999999995
chr1_1253969_1255069,7.085887
chr1_1259136_1260236,9.391212
chr1_1259971_1261071,9.818932333333333
chr1_1284630_1285730,10.378682000000001
chr1_1310775_1311875,12.593392
chr1_1333902_1335002,6.688497999999999
chr1_1334608_1335708,6.688497999999999
chr1_1341032_1342132,7.833953
chr1_1342593_1343693,7.833953
chr1_1343476_1344576,7.833953
chr1_1357049_1358149,9.056897
chr1_1406143_1407243,12.821992
chr1_1446531_1447631,27.012299
chr1_1509355_1510455,17.031879999999997
chr1_1510149_1511249,17.031879999999997
chr1_1549795_1550895,9.528469
chr1_1551075_1552175,9.528469
chr1_1589786_1590886,17.868772
chr1_1590373_1591473,17.868772
chr1_1624067_1625167,7.8241119999999995
chr1_1654951_1656051,11.239282000000001
chr1_1655666_1656766,10.9897255
chr1_1677331_1678431,12.5788275
chr1_1821910_1823010,11.709967666666666
chr1_1822395_1823495,10.189913
chr1_1980909_1982009,4.338636
chr1_1981409_1982509,4.338636
chr1_2120237_2121337,5.231171
chr1_2142962_2144062,9.533455
chr1_2143913_2145013,9.533455
chr1_2144059_2145159,9.533455
chr1_2145520_2146620,9.533455
chr1_2159134_2160234,8.0506015
chr1_2322267_2323367,6.583461
chr1_2323046_2324146,6.583461
chr1_2345136_2346236,6.4901029999999995
chr1_2457939_2459039,1.556992
chr1_2461584_2462684,1.556992
chr1_2516930_2518030,6.016411
chr1_3369990_3371090,4.795077
chr1_3540566_3541666,11.4795
chr1_3541207_3542307,11.4795
chr1_713150_714250,13.5955105
chr1_713906_715006,14.746575666666667
chr1_745441_746541,1.7131319999999999
chr1_751751_752851,13.124627333333335
chr1_752992_754092,5.464767999999999
chr1_761988_763088,4.392408
chr1_762802_763902,4.392408
chr1_894589_895689,11.209636
chr1_900877_901977,17.396447
chr1_935452_936552,3.824107
chr1_947803_948903,12.290787
chr1_948473_949573,12.290787
