name_E,H3k27ac_E,Ctcf_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k79me2_E,H3k9ac_E,H3k36me3_E,H4k20me1_E,H3k27me3_E,H3k4me1_E
chr10_1100843_1101035,20.559575,1.707387,14.709393,0.0,28.254481,6.156917,34.124226,0.0,5.624367,0.0,12.610698
chr10_2939911_2940338,9.757205,0.0,9.357381,89.0,7.469896,0.0,5.92955,0.0,0.0,2.309631,8.445059
chr10_3133662_3133717,32.077033,0.0,15.010082999999998,54.0,6.258899,9.177784,27.505772,6.0574010000000005,0.0,0.0,16.469595
chr10_3137708_3138098,32.077033,2.084177,15.010082999999998,123.0,10.217507,9.177784,27.505772,6.0574010000000005,0.0,0.0,16.469595
chr10_3145163_3145536,32.077033,0.0,10.980965,117.0,0.0,9.177784,18.460252,6.0574010000000005,0.0,0.0,7.8754300000000015
chr10_3306877_3306999,21.871816,0.0,8.463039,0.0,0.0,0.0,17.744339,0.0,0.0,2.423921,10.845336
chr10_3441336_3441600,12.222933,0.0,8.264211999999999,53.0,3.5494730000000003,0.0,13.746426,0.0,0.0,2.423921,10.589959
chr10_3497590_3497951,29.507871,0.0,11.476483,19.0,3.188444,0.0,16.481869,0.0,0.0,0.0,13.690504999999998
chr10_3507725_3507898,43.197031,0.0,12.027202,0.0,0.0,0.0,10.409638,0.0,0.0,0.0,12.759748
chr10_3509617_3509911,43.197031,16.752434,12.027202,153.0,14.986332999999998,0.0,40.849268,0.0,0.0,0.0,12.759748
chr10_3510310_3510716,43.197031,16.752434,12.027202,0.0,14.986332999999998,0.0,40.849268,0.0,0.0,0.0,12.759748
chr10_3511181_3511689,43.197031,0.0,12.027202,17.0,0.0,0.0,40.849268,0.0,0.0,0.0,12.759748
chr10_3782727_3783283,11.003547,0.0,10.27979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.787353999999999
chr10_3797195_3797502,29.902914000000006,0.0,12.68518,57.0,4.357680500000002,0.0,12.803913,0.0,0.0,0.0,11.500843
chr10_3845250_3845852,53.953973,0.0,7.256946000000001,0.0,0.0,0.0,30.624142,0.0,0.0,0.0,18.925508
chr10_3845999_3846426,53.953973,0.0,7.256946000000001,0.0,6.790027,3.405513,30.624142,0.0,0.0,0.0,18.925508
chr10_3846443_3847038,53.953973,0.0,14.793246,18.0,6.790027,3.405513,30.624142,0.0,0.0,0.0,18.925508
chr10_3848037_3849536,53.953973,4.025545,14.793246,35.0,6.790027,3.460836,30.624142,0.0,0.0,0.0,18.925508
chr10_3850308_3850795,53.953973,0.0,8.076459,0.0,0.0,3.460836,30.624142,0.0,0.0,0.0,18.925508
chr10_3852273_3852886,53.953973,0.0,11.692338500000002,74.0,6.286992,3.460836,30.624142,0.0,0.0,0.0,18.925508
chr10_3853393_3854169,53.953973,0.0,11.692338500000002,29.0,6.286992,0.0,30.624142,0.0,0.0,0.0,18.925508
chr10_3870489_3871262,12.166957,0.0,18.988526,34.0,17.972236,0.0,15.898316,0.0,0.0,0.0,7.611414
chr10_3878027_3878387,9.866728,0.0,8.957023,22.0,0.0,0.0,5.918793,0.0,0.0,0.0,10.601002
chr10_3893365_3894190,26.280229,0.0,17.26172,33.0,8.091183000000001,0.0,16.062406,0.0,0.0,0.0,11.591592
chr10_3902646_3902838,18.986346,0.0,11.204615,0.0,4.979931,0.0,15.295424,0.0,0.0,0.0,7.54695
chr10_3928866_3929216,39.599536,5.686668,10.082487,80.0,11.323721,0.0,15.486645999999999,0.0,0.0,0.0,11.539981
