name,H3k36me3_E,DNaseI_E,H3k27ac_E,H3k27me3_E,H3k9ac_E,H4k20me1_E,H3k4me1_E,H3k4me3_E,Ctcf_E,H3k79me2_E,H3k4me2_E,H3k4me3_P,H3k4me1_P,Ctcf_P,H3k36me3_P,H3k4me2_P,H3k27me3_P,H3k79me2_P,DNaseI_P,H3k9ac_P,H4k20me1_P,H3k27ac_P,corr,distance,css,label
chr1_2140151_2140337-chr1_316720_317820,0.0,0.061,5.2669510000000015,0.0,5.086243,1.366382,5.007581,6.686222,0.0,0.0,6.09577,0,0,0,0,0,0,0,0,0,0,0,0.3516483516483516,1822331,0.0,1
chr1_1093610_1093958-chr1_1166629_1167729,0.0,0.3138,17.452682,0.0,14.936694000000001,1.198307,0.0,11.097299000000001,0.0,0.0,8.879799,16.512223000000002,3.6321695,10.988021,1.585809,7.6808809999999985,0.0,9.125497,0.4115,17.077115,1.3306559999999998,14.017778,0.0494505494505495,72671,2.31,1
chr1_2501788_2502413-chr1_1214816_1215916,0.0,0.0,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.351753,0.0,0.0,0.0,4.079618,1.3306559999999998,2.145061,0.9945054945054945,1285872,0.02,1
chr1_2501788_2502413-chr1_935452_936552,0.0,0.0,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,15.851044,0.0,0.0,0.0,9.904401,0.0,6.818239,0.0987,19.807249,1.198307,20.862444,-0.14835164835164827,1565236,0.02,1
chr1_1143531_1144198-chr1_1242947_1244047,0.0,0.3116,0.0,0.0,0.0,4.1241605,0.0,9.321642,0.0,0.0,7.632505,16.57878,6.053594,0.0,0.0,10.465375,0.0,4.913233,0.1625,11.200712,1.7585974999999998,10.971179,-0.32417582417582413,98749,0.0,1
chr1_2772559_2772713-chr1_848551_849651,0.0,0.027000000000000003,0.0,1.951368,0.0,1.191068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.406121,0.0,0.0,0.0,1.198307,0.0,0.9835164835164835,1922908,0.0,1
chr1_1368471_1368786-chr1_379367_380467,0.0,0.0449,0.0,0.0,0.0,1.3306559999999998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.24725274725274726,988004,0.0,1
chr1_2172142_2172385-chr1_807672_808772,1.485586,0.0,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.6923076923076923,1363370,0.0,1
chr1_2171824_2171946-chr1_812183_813283,1.485586,0.0289,0.0,0.0,0.0,2.2128415,0.0,0.0,0.0,7.546384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.36813186813186816,1358541,0.0,1
chr1_1793829_1793862-chr1_564020_565120,2.0116110000000003,0.0,0.0,0.0,0.0,2.0463855,0.0,0.0,0.0,6.202486,0.0,0,0,0,0,0,0,0,0,0,0,0,0.31868131868131866,1228709,0.0,1
chr1_2406489_2406881-chr1_917397_918497,0.0,0.0616,0.0,1.951368,0.0,1.366382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198307,0.0,0.8021978021978022,1487992,0.46,1
chr1_1005293_1005547-chr1_856296_857396,0.0,0.0,0.0,0.0,0.0,5.077881,3.6828540000000003,5.636449,0.0,0.0,0.0,8.164244,7.188186,7.826646,0.0,3.7938410000000014,1.406121,0.0,0.0915,0.0,1.473502,0.0,0.17582417582417587,147897,0.0,1
