name_P,DNaseI_P
chr1_1009587_1010687,0.0357
chr1_1051641_1052741,0.4359
chr1_1071397_1072497,0.1594
chr1_1103385_1104485,0.047
chr1_1103737_1104837,0.047
chr1_1108264_1109364,0.0719
chr1_1141971_1143071,0.0882
chr1_1149418_1150518,0.11124999999999999
chr1_1166629_1167729,0.8202
chr1_1167311_1168411,0.8202
chr1_1182002_1183102,0.0318
chr1_1186614_1187714,0.2814
chr1_1209165_1210265,0.4104
chr1_1209603_1210703,0.21775
chr1_1242947_1244047,0.3276
chr1_1259136_1260236,0.3827
chr1_1259971_1261071,0.3827
chr1_1265694_1266794,0.0275
chr1_1284630_1285730,0.1734
chr1_1310775_1311875,0.28755
chr1_1333902_1335002,0.21855
chr1_1334608_1335708,0.4063
chr1_1341032_1342132,0.3019
chr1_1342593_1343693,0.3019
chr1_1354625_1355725,0.0999
chr1_1357049_1358149,0.0595
chr1_1360508_1361608,0.0529
chr1_1369241_1370341,0.239
chr1_1369853_1370953,0.239
chr1_1406143_1407243,0.5505
chr1_1446531_1447631,0.377
chr1_1475733_1476833,0.0847
chr1_1509355_1510455,0.2566
chr1_1510149_1511249,0.2566
chr1_1535376_1536476,0.3359
chr1_1549795_1550895,0.3179
chr1_1551075_1552175,0.5853
chr1_1566474_1567574,0.0638
chr1_1589786_1590886,0.4468
chr1_1590373_1591473,0.23634999999999998
chr1_1624067_1625167,0.5811
chr1_1630369_1631469,0.03285
chr1_1654951_1656051,0.3736
chr1_1655666_1656766,0.3736
chr1_1669027_1670127,0.08
chr1_1677331_1678431,0.7198
chr1_1711796_1712896,0.0862
chr1_1821910_1823010,0.315
chr1_1822395_1823495,0.315
chr1_1850612_1851712,0.4969
chr1_1946869_1947969,0.0294
chr1_1949780_1950880,0.04945
chr1_1980909_1982009,0.2315
chr1_1981409_1982509,0.2315
chr1_2120237_2121337,0.242
chr1_2142962_2144062,0.0659
chr1_2143913_2145013,0.0659
chr1_2144059_2145159,0.0659
chr1_2145520_2146620,0.0286
chr1_2159134_2160234,0.4747
chr1_2283196_2284296,0.0285
chr1_2284159_2285259,0.031100000000000003
chr1_2322267_2323367,0.4664
chr1_2323046_2324146,0.2481
chr1_2345136_2346236,0.2885
chr1_2424597_2425697,0.09505000000000001
chr1_2425818_2426918,0.1554
chr1_2457939_2459039,0.3646
chr1_2461584_2462684,0.1283
chr1_2476904_2478004,0.2971
chr1_2486078_2487178,0.1692
chr1_2488370_2489470,0.1692
chr1_2516930_2518030,0.2762
chr1_2563007_2564107,0.0318
chr1_2564381_2565481,0.0265
chr1_2718186_2719286,0.0823
chr1_2937046_2938146,0.0279
chr1_2984732_2985832,0.066
chr1_2984901_2986001,0.066
chr1_3226560_3227660,0.0309
chr1_3369990_3371090,0.1025
chr1_3477254_3478354,0.0282
chr1_3527959_3529059,0.0893
chr1_3540566_3541666,0.5324
chr1_3541207_3542307,0.5324
chr1_3568084_3569184,0.3774
chr1_3569225_3570325,0.3774
chr1_713150_714250,0.1783
chr1_713906_715006,0.1783
chr1_761988_763088,0.1478
chr1_762802_763902,0.1478
chr1_839214_840314,0.1878
chr1_845815_846915,0.0267
chr1_848551_849651,0.03025
chr1_856296_857396,0.0769
chr1_859260_860360,0.05635
chr1_866345_867445,0.0374
chr1_894589_895689,0.2754
chr1_894967_896067,0.2754
chr1_900877_901977,0.2319
chr1_933331_934431,0.0337
chr1_935452_936552,0.1434
chr1_947803_948903,0.1287
chr1_948473_949573,0.1287
chr1_954503_955603,0.2379
chr1_994114_995214,0.2931
chr1_998568_999668,0.1545
