name_P,H3k9ac_P
chr1_1009587_1010687,6.4764395
chr1_1051641_1052741,13.473889999999999
chr1_1101484_1102584,35.225674
chr1_1102243_1103343,35.225674
chr1_1166629_1167729,28.6583905
chr1_1167311_1168411,23.703996
chr1_1186614_1187714,5.048344
chr1_1209165_1210265,21.205382
chr1_1209603_1210703,21.205382
chr1_1242947_1244047,13.425526000000001
chr1_1244889_1245989,13.425526000000001
chr1_1253969_1255069,5.558957
chr1_1259136_1260236,16.11792
chr1_1259971_1261071,16.11792
chr1_1284630_1285730,14.655504999999998
chr1_1310775_1311875,19.556867
chr1_1333902_1335002,27.322596
chr1_1334608_1335708,27.322596
chr1_1341032_1342132,21.978595000000002
chr1_1342593_1343693,21.978595000000002
chr1_1343476_1344576,21.978595000000002
chr1_1354625_1355725,4.357451999999999
chr1_1357049_1358149,4.357451999999999
chr1_1369241_1370341,10.385819999999999
chr1_1406143_1407243,13.200614999999999
chr1_1446531_1447631,24.009373
chr1_1509355_1510455,42.317411
chr1_1510149_1511249,42.317411
chr1_1549795_1550895,16.844845
chr1_1551075_1552175,16.844845
chr1_1589786_1590886,15.651995
chr1_1590373_1591473,15.193780250000001
chr1_1624067_1625167,14.911072
chr1_1654951_1656051,12.143473499999999
chr1_1655666_1656766,18.2602445
chr1_1677331_1678431,12.97541
chr1_1821910_1823010,17.884748000000002
chr1_1822395_1823495,17.884748000000002
chr1_1850612_1851712,4.458526999999999
chr1_1980909_1982009,9.701999
chr1_1981409_1982509,9.701999
chr1_2120237_2121337,11.085434
chr1_2142962_2144062,18.930679
chr1_2143913_2145013,18.930679
chr1_2144059_2145159,18.930679
chr1_2145520_2146620,11.909144
chr1_2159134_2160234,16.834481
chr1_2322267_2323367,14.226496
chr1_2323046_2324146,14.226496
chr1_2345136_2346236,17.323055
chr1_2457939_2459039,9.8483665
chr1_2461584_2462684,5.106494
chr1_2476904_2478004,7.289279
chr1_2488370_2489470,16.819976
chr1_2516930_2518030,8.467651
chr1_3369990_3371090,11.167549000000001
chr1_3540566_3541666,17.006351000000002
chr1_3541207_3542307,14.5385785
chr1_568756_569856,8.180879
chr1_713150_714250,9.291831
chr1_713906_715006,9.291831
chr1_751751_752851,6.4245003333333335
chr1_752992_754092,6.169861333333333
chr1_761988_763088,13.296345
chr1_762802_763902,13.296345
chr1_839214_840314,4.1612919999999995
chr1_845815_846915,3.490803
chr1_894589_895689,12.61086
chr1_894967_896067,12.61086
chr1_900877_901977,20.765355
chr1_933331_934431,16.221198
chr1_935452_936552,16.221198
chr1_947803_948903,15.046904999999999
chr1_948473_949573,15.046904999999999
chr1_954503_955603,15.7718125
chr1_994114_995214,5.221191999999999
chr1_998568_999668,5.992022
