name_E,H3k4me2_E
chr10_1100843_1101035,14.655866
chr10_2256285_2256680,7.415099
chr10_3028046_3028193,11.095732
chr10_3133662_3133717,13.603983
chr10_3137708_3138098,15.910465
chr10_3216614_3216797,8.080167
chr10_3497590_3497951,9.387009
chr10_3507725_3507898,15.876721
chr10_3509617_3509911,15.876721
chr10_3510310_3510716,15.876721
chr10_3511181_3511689,15.876721
chr10_3524547_3524820,14.432126
chr10_3526849_3527147,7.687452
chr10_3528683_3528786,12.408644
chr10_3542742_3543014,18.235874
chr10_3710838_3711066,10.365474
chr10_3762746_3763172,12.901931
chr10_3782727_3783283,13.058905
chr10_3797195_3797502,11.682814
chr10_3800307_3800531,11.682814
chr10_3807382_3807563,14.733685
chr10_3845999_3846426,10.963925
chr10_3846443_3847038,10.963925
chr10_3848037_3849536,10.963925
chr10_3850308_3850795,10.963925
chr10_3852273_3852886,10.963925
chr10_3853393_3854169,10.963925
chr10_3867491_3867713,5.824996
chr10_3870489_3871262,17.668733
chr10_3893365_3894190,7.610859
chr10_3928866_3929216,6.880443
chr10_3929991_3930887,6.880443
chr10_3932191_3932411,3.541267
chr10_3936015_3936390,3.541267
chr10_3938329_3938538,3.541267
chr10_3944367_3944901,3.541267
chr10_3984866_3985563,8.624471
chr10_3985648_3985956,8.624471
chr10_4172866_4173257,10.754757
chr10_4173688_4174411,10.754757
chr10_4289203_4289519,7.0242675000000006
chr10_4386754_4387085,17.3128015
chr10_4396174_4396330,13.959451
chr10_4705159_4705783,11.393698
chr10_4712833_4713220,18.654701
chr10_4728868_4729211,8.64839
chr10_4813646_4813900,8.697576
chr10_4989909_4990226,4.9830295
chr10_500969_501047,12.405379
chr10_5113786_5114179,14.155706
chr10_5333644_5334212,8.380704999999999
chr10_5334474_5334640,8.380704999999999
chr10_5336164_5336286,3.324232
chr10_5339443_5339719,2.048553
chr10_5359534_5359986,9.499224
chr10_556579_556951,7.726304
chr10_557102_557353,7.726304
chr10_5587810_5588190,8.7121535
chr10_5588881_5589169,8.7121535
chr10_5590010_5590295,8.7121535
chr10_5590959_5591270,8.7121535
chr10_5593718_5593999,8.977539
chr10_5596279_5596669,9.824770000000001
chr10_5607602_5608000,9.580689
chr10_5638863_5639270,14.749574
chr10_593455_593774,11.325353
chr10_699938_700531,8.325163
chr10_830904_831008,8.3787925
chr10_990446_990769,12.29115
chr1_100113534_100114036,17.893224
chr1_1005293_1005547,8.432566
chr1_100820585_100820838,12.936521
chr1_10127211_10127315,7.7548865
chr1_101313094_101313246,7.575484
chr1_1014834_1015095,8.211755
chr1_101725356_101725679,4.989234
chr1_101774729_101775525,18.965868
chr1_10269964_10270260,17.656085
chr1_103572619_103572906,7.533649
chr1_10556105_10556527,12.981765
chr1_10557233_10557456,12.981765
chr1_10695291_10695734,12.26409
chr1_10816030_10816223,4.337591
chr1_108479405_108480123,6.465877
chr1_10853986_10854555,12.107538
chr1_108584121_108584359,8.813884
chr1_108584447_108584892,8.813884
chr1_108600214_108600460,7.459052
chr1_108741685_108742156,15.244832
chr1_109104473_109104583,9.18298
chr1_109262615_109262764,7.95043
chr1_10927237_10927380,9.233592
chr1_1093610_1093958,11.953523
chr1_10960432_10960567,12.270062
chr1_109800134_109800539,11.706471
chr1_109841804_109842152,5.466663
chr1_109842394_109842833,5.466663
chr1_109938897_109939079,7.239577
chr1_110160052_110160461,4.486087
chr1_110334849_110335164,4.872818
chr1_110335775_110336041,10.538672
chr1_110363861_110364229,1.594238
chr1_110364881_110365302,1.594238
chr1_110366477_110366702,1.594238
chr1_110420039_110420145,5.007392
chr1_110454846_110455290,7.856217
chr1_110626726_110627062,8.181086
chr1_110879130_110879445,12.45468
chr1_111735402_111735659,11.7934
chr1_111735691_111736003,11.7934
chr1_111757482_111757860,5.534263
chr1_111764327_111764759,9.186893
chr1_112050044_112050594,11.142198
chr1_112058341_112058601,7.190065
chr1_112058803_112059167,7.190065
chr1_112135698_112135869,10.987638
chr1_112163412_112163797,14.02042
chr1_112163826_112164071,14.02042
chr1_112942216_112942335,17.401965
chr1_113086746_113087141,7.14966
chr1_113584893_113585079,8.051584
chr1_1136667_1137146,10.892559
chr1_11376903_11377179,10.626548
chr1_114326143_114326379,5.124194
chr1_1143531_1144198,9.952106
chr1_114575620_114575801,10.002996
chr1_114656563_114656717,10.281592
chr1_114665635_114666029,9.326547999999999
chr1_115052481_115052766,16.335856
chr1_115605190_115605611,9.753903
chr1_115605746_115606114,9.753903
chr1_115627657_115627928,11.8158385
chr1_115641281_115641604,10.374261
chr1_115709526_115709713,8.553543
chr1_115732772_115733197,10.062126
chr1_115873164_115873576,7.7361585
chr1_116039640_116039989,6.598483
chr1_116088478_116088732,8.03901
chr1_116221756_116221883,7.833006
chr1_116291091_116291334,5.280144
chr1_116370977_116371565,10.714416
chr1_116520279_116520650,15.883443
chr1_116918925_116919548,25.277893
chr1_116920378_116921129,25.277893
chr1_117032033_117032296,4.605067
chr1_117047053_117047428,8.87032
chr1_117050808_117051139,6.931362
chr1_117051576_117051921,6.931362
chr1_117080047_117080432,6.301464
chr1_117081238_117081452,6.301464
chr1_117082797_117083071,7.827821
chr1_117111804_117112156,10.657078
chr1_117112460_117112738,10.657078
chr1_117132073_117132239,4.611791
chr1_117280613_117280924,6.593276
chr1_117281390_117281752,6.593276
chr1_1173386_1173736,8.85601
chr1_117363043_117363386,7.76382
chr1_117421623_117422020,22.53111
chr1_117422443_117422644,22.53111
chr1_11753086_11753651,10.3446805
chr1_118197244_118197521,9.338735
chr1_118197868_118198044,9.338735
chr1_11968510_11969143,9.354451
chr1_11990003_11990329,10.388953
chr1_120052717_120053071,4.726385
chr1_120147764_120147961,10.709491
chr1_120255895_120256325,16.000614
chr1_120525502_120525838,3.429837
chr1_120530787_120531205,3.960645
chr1_12112067_12112502,9.067542
chr1_12193120_12193399,4.762049
chr1_12221931_12222397,7.965782
chr1_12493910_12494304,6.83351
chr1_12509354_12509466,11.405306
chr1_12609717_12610039,11.678783
chr1_12675687_12675874,20.680013
chr1_1295535_1296332,4.9994320000000005
chr1_1368471_1368786,9.060271
chr1_13931629_13932064,4.713292
chr1_14027926_14028325,16.996136
chr1_14029077_14029879,16.996136
chr1_14154959_14155163,1.607467
chr1_142538903_142539547,5.00839
chr1_144533627_144534178,11.596408
chr1_144536201_144536370,11.596408
chr1_144908312_144908601,13.307595
chr1_144908806_144909147,13.307595
chr1_144927217_144927550,37.454631
chr1_144986415_144987071,5.069874
chr1_144987154_144987391,5.069874
chr1_145009158_145009716,17.815979499999997
chr1_145012331_145013054,7.91874
chr1_145023690_145024549,7.91874
chr1_145042783_145043227,18.964050999999998
chr1_145090155_145090603,10.071882666666667
chr1_145092450_145092883,12.308298666666666
chr1_145226678_145226829,3.308234
chr1_145433530_145433648,12.847356
chr1_145437595_145437817,22.613043
chr1_145454760_145454851,10.219549
chr1_145455122_145455741,10.219549
chr1_147775754_147775884,6.439049
chr1_147806841_147807184,22.78904
chr1_148000699_148000802,9.39662
chr1_14843752_14844090,6.894096
chr1_149215297_149215704,9.238991500000001
chr1_14926383_14926731,7.085754
chr1_149978692_149979077,8.3705015
chr1_149981648_149981889,8.3705015
chr1_149984633_149984917,3.488901
chr1_150135231_150135764,14.482542
chr1_150159099_150159241,5.597925
chr1_150185878_150186128,12.932921
chr1_150231710_150231944,8.28302
chr1_150294873_150295138,11.488795
chr1_150577042_150577503,10.700544
chr1_150585815_150586394,11.458115
chr1_150592182_150592667,10.20081
chr1_15059594_15059681,12.072975
chr1_150600412_150600701,10.20081
chr1_150949569_150950014,13.739725499999999
chr1_151166314_151166527,12.950869
chr1_151168297_151168505,12.950869
chr1_151172142_151172526,12.950869
chr1_151172620_151173197,12.950869
chr1_151284018_151284391,7.044765
chr1_151445792_151446161,14.788674
chr1_151485676_151485841,16.499986
chr1_151486181_151486300,16.499986
chr1_151809390_151809745,10.45576
chr1_151877533_151877895,4.35316
chr1_151913142_151913275,3.577131
chr1_151913574_151913780,3.577131
chr1_151913815_151914271,3.577131
chr1_151916920_151917624,15.151476
chr1_151918898_151919222,15.151476
chr1_151945068_151945221,8.055404
chr1_151960875_151961433,8.055404
chr1_151961675_151962369,8.055404
