name_E,H3k4me3_E
chr10_1100843_1101035,28.254481
chr10_2939911_2940338,7.469896
chr10_3028046_3028193,5.071811
chr10_3133662_3133717,6.258899
chr10_3137708_3138098,10.217507
chr10_3441336_3441600,3.549473
chr10_3497590_3497951,3.188444
chr10_3509617_3509911,14.986333
chr10_3510310_3510716,14.986333
chr10_3524547_3524820,10.161478
chr10_3797195_3797502,4.3576805
chr10_3800307_3800531,1.593976
chr10_3845999_3846426,6.790027
chr10_3846443_3847038,6.790027
chr10_3848037_3849536,6.790027
chr10_3852273_3852886,6.286992
chr10_3853393_3854169,6.286992
chr10_3870489_3871262,17.972236
chr10_3893365_3894190,8.091183
chr10_3902646_3902838,4.979931
chr10_3928866_3929216,11.323721
chr10_3929991_3930887,11.7535375
chr10_4172866_4173257,5.63352
chr10_4173688_4174411,5.63352
chr10_4396174_4396330,4.973651
chr10_4705159_4705783,8.008961
chr10_4813646_4813900,6.353569
chr10_557102_557353,8.461475
chr10_5590010_5590295,9.064827000000001
chr10_5590959_5591270,7.610989
chr10_5596279_5596669,8.501304
chr10_5888274_5888577,10.865303
chr10_699938_700531,9.179872
chr10_830904_831008,8.496564
chr10_990446_990769,10.879432
chr1_100104444_100104686,4.774844
chr1_100113534_100114036,54.952429
chr1_100820585_100820838,30.30612
chr1_101313094_101313246,9.38598
chr1_1014834_1015095,4.90876
chr1_101725356_101725679,1.9574
chr1_101764288_101764549,3.423967
chr1_101774729_101775525,14.684399
chr1_10269964_10270260,29.892589
chr1_103572619_103572906,18.683966
chr1_108479405_108480123,8.095964
chr1_10853986_10854555,4.434705
chr1_108741685_108742156,39.51318
chr1_109104473_109104583,13.901294
chr1_109127044_109127234,4.087501
chr1_109133120_109133338,10.284752
chr1_109133637_109134097,11.579481000000001
chr1_1093610_1093958,11.76639
chr1_109938897_109939079,8.347059
chr1_110160052_110160461,12.467928
chr1_110454846_110455290,13.204615
chr1_110626726_110627062,9.936812
chr1_110879130_110879445,24.952005
chr1_112050044_112050594,9.279799
chr1_112058341_112058601,7.480768
chr1_112058803_112059167,7.480768
chr1_112135698_112135869,13.093885
chr1_112163412_112163797,18.771048
chr1_112163826_112164071,18.771048
chr1_112276731_112276883,5.084072
chr1_112942216_112942335,33.327133
chr1_113086746_113087141,11.762303
chr1_113584893_113585079,7.655327
chr1_115052481_115052766,29.581799
chr1_115605190_115605611,8.288376
chr1_115605746_115606114,8.288376
chr1_115627657_115627928,7.363139
chr1_115641281_115641604,11.987315
chr1_115709526_115709713,7.713098
chr1_116370977_116371565,18.008642
chr1_116918925_116919548,20.256821
chr1_116920378_116921129,20.256821
chr1_116923407_116923493,3.020126
chr1_117032033_117032296,7.566061
chr1_117111804_117112156,15.290994
chr1_117112460_117112738,15.290994
chr1_117421623_117422020,11.734291
chr1_11968510_11969143,23.150687
chr1_120255895_120256325,20.345417
chr1_12046023_12046196,11.406573
chr1_12193120_12193399,4.448563
chr1_12227833_12229578,17.203535
chr1_12238984_12239461,11.590194
chr1_12243852_12244671,3.38125
chr1_12245348_12245387,3.38125
chr1_12493313_12493712,6.450216
chr1_12493910_12494304,6.450216
chr1_12609717_12610039,7.393734
chr1_12675687_12675874,28.663325
chr1_14027926_14028325,16.090934
chr1_142538903_142539547,9.228753
chr1_144533627_144534178,13.287972
chr1_144536201_144536370,9.705956
chr1_144908312_144908601,5.782805
chr1_144908806_144909147,5.782805
chr1_144927217_144927550,41.924997
chr1_145009158_145009716,2.022777
chr1_145012331_145013054,2.022777
chr1_145023690_145024549,4.841622
chr1_145042783_145043227,4.841622
chr1_145054975_145055306,1.863737
chr1_145058996_145059322,1.863737
chr1_145090155_145090603,14.095721
chr1_145092450_145092883,19.5876055
chr1_145113904_145114998,1.876738
chr1_145437595_145437817,29.143406
chr1_145455122_145455741,7.507945
chr1_145526126_145526326,11.749316
chr1_147775754_147775884,11.029496
chr1_147806841_147807184,16.384544
chr1_148000699_148000802,13.064997
chr1_149215297_149215704,8.370746
chr1_149981648_149981889,38.146508
chr1_150135231_150135764,7.900197
chr1_150185878_150186128,20.239909
chr1_150294873_150295138,33.492276
chr1_150577042_150577503,10.009268
chr1_150585815_150586394,12.627916500000001
chr1_150600412_150600701,34.745259
chr1_150949569_150950014,8.06623
chr1_151168297_151168505,10.759316
chr1_151172142_151172526,50.046338
chr1_151172620_151173197,50.046338
chr1_151445792_151446161,11.487429
chr1_151877533_151877895,10.842958
chr1_151918898_151919222,5.208074
chr1_151945068_151945221,4.646469
chr1_151960875_151961433,25.933757
chr1_151961675_151962369,25.933757
