name_P,H3k9ac_P
chr1_1051641_1052741,12.8022645
chr1_1141971_1143071,2.920937
chr1_1166629_1167729,23.892592999999998
chr1_1167311_1168411,23.892592999999998
chr1_1209165_1210265,22.97288
chr1_1209603_1210703,22.97288
chr1_1242947_1244047,11.925823
chr1_1244889_1245989,11.925823
chr1_1259136_1260236,12.137364
chr1_1259971_1261071,12.137364
chr1_1284630_1285730,12.069983
chr1_1310775_1311875,23.774065
chr1_1313046_1314146,23.774065
chr1_1333902_1335002,24.235487
chr1_1334608_1335708,24.235487
chr1_1341032_1342132,23.855675
chr1_1342593_1343693,23.855675
chr1_1343476_1344576,23.855675
chr1_1369241_1370341,5.306358
chr1_1369853_1370953,5.306358
chr1_137865_138965,10.74064025
chr1_139279_140379,6.227207
chr1_1406143_1407243,13.011656
chr1_1446531_1447631,23.914954
chr1_1509355_1510455,38.208928
chr1_1510149_1511249,38.208928
chr1_1549795_1550895,15.761807999999998
chr1_1551075_1552175,15.761807999999998
chr1_1589786_1590886,13.494617
chr1_1590373_1591473,15.743834333333332
chr1_1624067_1625167,14.628469
chr1_1654951_1656051,16.129440000000002
chr1_1655666_1656766,12.188412666666666
chr1_1677331_1678431,16.412453499999998
chr1_1711796_1712896,13.597508
chr1_1821910_1823010,14.10385
chr1_1822395_1823495,14.10385
chr1_1850612_1851712,8.852295999999999
chr1_2120237_2121337,9.091369
chr1_2142962_2144062,10.699365
chr1_2143913_2145013,10.699365
chr1_2144059_2145159,10.699365
chr1_2159134_2160234,16.66391
chr1_2322267_2323367,12.6054
chr1_2323046_2324146,12.6054
chr1_2345136_2346236,17.007785000000002
chr1_2457939_2459039,11.606727000000001
chr1_2476904_2478004,7.552408
chr1_2488370_2489470,7.930889
chr1_2516930_2518030,16.604953
chr1_3540566_3541666,9.219208
chr1_3541207_3542307,9.076245
chr1_3568084_3569184,4.064696
chr1_3569225_3570325,4.064696
chr1_568756_569856,8.13402
chr1_713150_714250,24.81793433333333
chr1_713906_715006,23.104059
chr1_761988_763088,9.055922
chr1_762802_763902,9.055922
chr1_839214_840314,3.8961129999999997
chr1_894589_895689,11.721022
chr1_894967_896067,11.721022
chr1_900877_901977,7.3837660000000005
chr1_933331_934431,15.29481
chr1_935452_936552,15.29481
chr1_947803_948903,10.960297
chr1_948473_949573,10.960297
chr1_954503_955603,9.142775499999999
chr1_994114_995214,10.898955
chr1_998568_999668,10.940495
