name_E,Pol2_E
chr10_3137708_3138098,2.66107
chr10_3510310_3510716,3.17259
chr10_3511181_3511689,3.17259
chr10_3568141_3568290,3.18567
chr10_3848037_3849536,3.09117
chr10_3852273_3852886,2.48757
chr10_3893365_3894190,2.7243
chr10_3928866_3929216,7.37942
chr10_3929991_3930887,7.37942
chr10_3932191_3932411,2.03368
chr10_3948614_3948936,3.05459
chr10_3984866_3985563,2.08516
chr10_4289203_4289519,4.41318
chr10_4358748_4358982,1.67189
chr10_4386754_4387085,2.14695
chr10_4705159_4705783,4.67939
chr10_4813646_4813900,2.72089
chr10_4891874_4892173,1.97656
chr10_557102_557353,2.5717
chr10_5587810_5588190,2.87609
chr10_5590959_5591270,1.8956
chr10_652657_652929,2.49061
chr10_830904_831008,4.78457
chr1_10127211_10127315,2.00847
chr1_1014834_1015095,3.24209
chr1_10269964_10270260,5.1759
chr1_108741685_108742156,1.69423
chr1_109246671_109246905,2.81674
chr1_1093610_1093958,3.76067
chr1_109913179_109913623,2.07222
chr1_110160052_110160461,1.80257
chr1_110537379_110537528,3.15896
chr1_112058341_112058601,2.00067
chr1_112058803_112059167,2.00067
chr1_112276731_112276883,1.8281
chr1_112286281_112286588,1.42054
chr1_1136075_1136463,3.79076
chr1_1136667_1137146,3.79076
chr1_1143531_1144198,2.51097
chr1_115732772_115733197,2.49361
chr1_115873164_115873576,1.63155
chr1_116088478_116088732,1.51906
chr1_116918925_116919548,1.33758
chr1_116920378_116921129,1.33758
chr1_11968510_11969143,8.96772
chr1_120255895_120256325,4.86338
chr1_120692453_120692808,2.42997
chr1_12243852_12244671,2.07307
chr1_12675687_12675874,2.55725
chr1_144533627_144534178,5.58084
chr1_145455122_145455741,2.04351
chr1_146764405_146764804,3.52182
chr1_147806841_147807184,15.76976
chr1_149981648_149981889,3.90113
chr1_150135231_150135764,5.17338
chr1_150577042_150577503,2.92039
chr1_150585815_150586394,3.1111
chr1_150592182_150592667,2.7414
chr1_151960875_151961433,1.78809
chr1_151961675_151962369,1.78809
chr1_152006910_152007460,3.5722
chr1_152007615_152008057,3.5722
chr1_153504746_153504953,7.44575
chr1_153541018_153541368,2.09002
chr1_153762591_153763309,1.89148
chr1_154154606_154155027,5.6825
chr1_154299137_154299452,5.08067
chr1_154910155_154910399,3.08315
chr1_154973036_154973200,2.24772
chr1_154973335_154973935,2.24772
chr1_155830201_155830522,2.18119
chr1_155946363_155946660,3.35583
chr1_156073142_156073699,3.75046
chr1_156073854_156074351,3.75046
chr1_156074715_156075305,3.75046
chr1_156089405_156089622,2.35947
chr1_156095033_156095181,2.76042
chr1_156103413_156103690,2.47452
chr1_156118146_156118395,3.74396
chr1_156251648_156251762,2.95144
chr1_156426931_156427503,4.98853
chr1_156468556_156468776,6.3085
chr1_156472693_156472952,6.3085
chr1_156473111_156473378,6.3085
chr1_156474686_156475018,6.3085
chr1_156541089_156541488,2.03076
chr1_156718467_156719136,1.98563
chr1_156719450_156719815,2.56227
chr1_157076072_157076782,1.43124
chr1_157106691_157107326,5.95061
chr1_15738146_15738632,2.91553
chr1_157980631_157980890,2.22005
chr1_158970513_158970716,1.92231
chr1_159880076_159880706,1.48471
chr1_159892447_159892988,9.79202
chr1_16030221_16030623,2.2752
chr1_16087189_16087372,3.05771
chr1_161170933_161171185,3.47944
chr1_161352257_161352597,1.47624
chr1_161359666_161360218,4.25629
chr1_16176617_16176801,3.94645
chr1_162508612_162508929,2.06019
chr1_162603017_162603226,2.53864
chr1_16276028_16276482,3.1264
chr1_16277350_16278224,2.95596
chr1_162954567_162954830,1.82248
chr1_163005587_163006022,1.75003
chr1_163006587_163006657,1.75003
chr1_16401814_16401932,2.87768
chr1_164750243_164750515,1.49332
chr1_165797615_165798367,6.74119
chr1_165823413_165823808,2.6467
chr1_165868061_165868423,3.01209
chr1_167683554_167683813,1.56828
chr1_167766380_167766616,1.98563
chr1_168149052_168149361,1.93278
chr1_170633923_170634526,1.78653
chr1_170677232_170677374,1.88386
chr1_171712214_171712716,3.37401
chr1_172106187_172106635,1.64142
chr1_17231253_17231704,4.27715
chr1_172878579_172879356,2.07554
chr1_172903010_172903534,1.48922
chr1_173091914_173092434,1.5337
chr1_173092552_173092771,1.5337
chr1_173447359_173447668,4.23246
chr1_178231351_178231525,2.00067
chr1_179110934_179111289,5.10012
chr1_180200315_180200683,3.38182
chr1_181060502_181060611,4.63263
chr1_181065454_181065797,2.10091
chr1_181074349_181074924,2.27708
chr1_181104473_181105818,1.767
chr1_181110732_181111003,1.58575
chr1_181122099_181122260,2.82644
chr1_183241451_183241867,1.50106
chr1_1840449_1840835,8.90863
chr1_192458942_192459176,2.10597
chr1_19248887_19249092,1.68841
chr1_19253034_19253391,2.12703
chr1_19276270_19276542,1.85326
chr1_19277155_19277462,1.85326
chr1_192776947_192777226,6.94813
chr1_192783033_192783090,6.94813
chr1_19336477_19336714,1.72092
chr1_198090244_198090551,2.17044
chr1_198128112_198128944,3.57066
chr1_198650930_198651643,1.8682
chr1_198903935_198904934,3.75267
chr1_200321353_200321596,1.5337
chr1_201139670_201140154,2.83849
chr1_201160901_201161255,2.2564
chr1_201431088_201431253,4.51766
chr1_201449602_201449822,2.78275
chr1_201463619_201463933,1.79694
chr1_201472589_201472996,7.09219
chr1_201500233_201500477,1.89857
chr1_201520953_201521395,2.027
chr1_201572031_201572237,3.02486
chr1_201619383_201619798,3.52876
chr1_201682596_201682901,2.61222
chr1_201684946_201685300,2.19372
chr1_203247590_203248072,2.55349
chr1_203481982_203482534,2.62194
chr1_203489584_203489741,2.93332
chr1_203598711_203598999,3.58169
chr1_203599092_203599518,3.58169
chr1_203643182_203643803,1.45009
chr1_203661733_203662076,2.48204
chr1_204289566_204289863,1.73209
chr1_204363456_204363666,1.96602
chr1_204386444_204387188,1.84273
chr1_205144631_205144860,1.69749
chr1_205267691_205267999,1.48959
chr1_205270500_205270865,1.71651
chr1_206859136_206859493,7.21234
chr1_206859748_206860259,7.21234
chr1_207063537_207063710,2.95081
chr1_207509006_207509478,2.10597
chr1_211590216_211590571,3.17741
chr1_212458080_212458253,3.63191
chr1_212643548_212643711,1.6433
chr1_212658172_212658571,2.057
chr1_212659054_212659720,2.057
chr1_212661846_212662402,1.81235
chr1_212769584_212769966,2.27977
chr1_212809966_212810356,2.68789
chr1_212840606_212841015,2.68667
chr1_212841280_212841455,2.68667
chr1_214601098_214601566,1.62555
