name_E,H3k27ac_E,H4k20me1_E,H3k9ac_E,H3k27me3_E,H3k4me2_E,H3k36me3_E,H3k4me1_E,H3k79me2_E,Ctcf_E,DNaseI_E,H3k4me3_E
chr10_1100843_1101035,20.559575,5.624367,34.124226,0.0,14.709393,0.0,12.610698,6.156917,1.707387,0.0,28.254481
chr10_2939911_2940338,9.757205,0.0,5.92955,2.309631,9.357381,0.0,8.445059,0.0,0.0,89.0,7.469896
chr10_3133662_3133717,32.077033,0.0,27.505772,0.0,15.010083,6.057401,16.469595,9.177784,0.0,54.0,6.258899
chr10_3137708_3138098,32.077033,0.0,27.505772,0.0,15.010083,6.057401,16.469595,9.177784,2.084177,123.0,10.217507
chr10_3145163_3145536,32.077033,0.0,18.460252,0.0,10.980965,6.057401,7.87543,9.177784,0.0,117.0,0.0
chr10_3306877_3306999,21.871816,0.0,17.744339,2.423921,8.463039,0.0,10.845336,0.0,0.0,0.0,0.0
chr10_3441336_3441600,12.222933,0.0,13.746426,2.423921,8.264212,0.0,10.589959,0.0,0.0,53.0,3.549473
chr10_3497590_3497951,29.507871,0.0,16.481869,0.0,11.476483,0.0,13.690505,0.0,0.0,19.0,3.188444
chr10_3507725_3507898,43.197031,0.0,10.409638,0.0,12.027202,0.0,12.759748,0.0,0.0,0.0,0.0
chr10_3509617_3509911,43.197031,0.0,40.849268,0.0,12.027202,0.0,12.759748,0.0,16.752434,153.0,14.986333
chr10_3510310_3510716,43.197031,0.0,40.849268,0.0,12.027202,0.0,12.759748,0.0,16.752434,0.0,14.986333
chr10_3511181_3511689,43.197031,0.0,40.849268,0.0,12.027202,0.0,12.759748,0.0,0.0,17.0,0.0
chr10_3782727_3783283,11.003547,0.0,0.0,0.0,10.27979,0.0,8.787354,0.0,0.0,0.0,0.0
chr10_3797195_3797502,29.902914,0.0,12.803913,0.0,12.68518,0.0,11.500843,0.0,0.0,57.0,4.3576805
chr10_3845250_3845852,53.953973,0.0,30.624142,0.0,7.256946,0.0,18.925508,0.0,0.0,0.0,0.0
chr10_3845999_3846426,53.953973,0.0,30.624142,0.0,7.256946,0.0,18.925508,3.405513,0.0,0.0,6.790027
chr10_3846443_3847038,53.953973,0.0,30.624142,0.0,14.793246,0.0,18.925508,3.405513,0.0,18.0,6.790027
chr10_3848037_3849536,53.953973,0.0,30.624142,0.0,14.793246,0.0,18.925508,3.460836,4.025545,35.0,6.790027
chr10_3850308_3850795,53.953973,0.0,30.624142,0.0,8.076459,0.0,18.925508,3.460836,0.0,0.0,0.0
chr10_3852273_3852886,53.953973,0.0,30.624142,0.0,11.6923385,0.0,18.925508,3.460836,0.0,74.0,6.286992
chr10_3853393_3854169,53.953973,0.0,30.624142,0.0,11.6923385,0.0,18.925508,0.0,0.0,29.0,6.286992
chr10_3870489_3871262,12.166957,0.0,15.898316,0.0,18.988526,0.0,7.611414,0.0,0.0,34.0,17.972236
chr10_3878027_3878387,9.866728,0.0,5.918793,0.0,8.957023,0.0,10.601002,0.0,0.0,22.0,0.0
chr10_3893365_3894190,26.280229,0.0,16.062406,0.0,17.26172,0.0,11.591592,0.0,0.0,33.0,8.091183
chr10_3902646_3902838,18.986346,0.0,15.295424,0.0,11.204615,0.0,7.54695,0.0,0.0,0.0,4.979931
chr10_3928866_3929216,39.599536,0.0,15.486646,0.0,10.082487,0.0,11.539981,0.0,5.686668,80.0,11.323721
chr10_3929991_3930887,39.599536,0.0,15.486646,0.0,10.082487,0.0,11.539981,0.0,18.960819,98.0,11.7535375
chr10_3932191_3932411,39.599536,0.0,15.486646,0.0,10.082487,0.0,11.539981,0.0,0.0,21.0,0.0
chr10_3936015_3936390,39.599536,0.0,15.486646,0.0,0.0,0.0,11.539981,0.0,0.0,0.0,0.0
chr10_3938329_3938538,39.599536,0.0,15.486646,0.0,0.0,0.0,11.539981,0.0,0.0,0.0,0.0
chr10_3984866_3985563,4.288837,0.0,10.503509,0.0,0.0,0.0,6.2927045,0.0,0.0,19.0,0.0
chr10_3991165_3991394,3.257117,0.0,9.761567,0.0,11.367075,0.0,6.4098795,0.0,0.0,41.0,0.0
chr10_4172866_4173257,20.925407,0.0,10.421554,0.0,13.21841,0.0,17.926498,0.0,0.0,25.0,5.63352
chr10_4173688_4174411,20.925407,0.0,10.421554,0.0,13.21841,0.0,17.926498,0.0,0.0,53.0,5.63352
chr10_4289203_4289519,43.514187,0.0,8.909104,0.0,8.673572,0.0,12.681194,0.0,0.0,23.0,0.0
chr10_4396174_4396330,15.82939,0.0,11.535504,0.0,9.260773,0.0,13.749673,0.0,0.0,59.0,4.973651
chr10_4414900_4415114,8.250316,0.0,5.783799,0.0,0.0,0.0,4.600437,0.0,0.0,64.0,0.0
chr10_4685784_4686138,9.518828,0.0,0.0,0.0,0.0,2.984026,0.0,5.450675,0.0,0.0,0.0
chr10_4705159_4705783,24.558906,0.0,9.7250385,0.0,8.559176,2.984026,13.3359315,5.450675,0.0,62.0,8.008961
chr10_4711881_4712067,9.518828,0.0,0.0,0.0,0.0,2.984026,0.0,5.450675,0.0,0.0,0.0
chr10_4712833_4713220,9.518828,0.0,0.0,0.0,0.0,2.984026,0.0,5.450675,0.0,0.0,0.0
chr10_4813646_4813900,32.822953,0.0,17.49549,0.0,8.107839,2.839876,7.737739,1.97589,14.389219,32.0,6.353569
chr10_4852300_4852352,15.549766,0.0,0.0,0.0,4.447986,0.0,9.615112,0.0,0.0,0.0,0.0
