name_P,DNaseI_P
chr1_1009587_1010687,27.0
chr1_1051641_1052741,119.5
chr1_1101484_1102584,23.0
chr1_1166629_1167729,70.66666666666667
chr1_1167311_1168411,161.0
chr1_1182002_1183102,19.0
chr1_1209165_1210265,131.0
chr1_1209603_1210703,15.0
chr1_1242947_1244047,85.33333333333333
chr1_1244889_1245989,27.0
chr1_1259136_1260236,126.0
chr1_1259971_1261071,69.0
chr1_1265694_1266794,26.0
chr1_1284630_1285730,45.0
chr1_1310775_1311875,246.0
chr1_1333902_1335002,81.0
chr1_1334608_1335708,78.5
chr1_1342593_1343693,68.0
chr1_1354625_1355725,22.0
chr1_1369241_1370341,19.0
chr1_1369853_1370953,17.0
chr1_1406143_1407243,111.0
chr1_1446531_1447631,139.0
chr1_1475733_1476833,78.0
chr1_1509355_1510455,61.0
chr1_1510149_1511249,60.5
chr1_1535376_1536476,32.0
chr1_1549795_1550895,94.5
chr1_1551075_1552175,69.66666666666667
chr1_1566474_1567574,19.0
chr1_1589786_1590886,90.0
chr1_1590373_1591473,162.0
chr1_1624067_1625167,69.0
chr1_1654951_1656051,81.33333333333333
chr1_1655666_1656766,98.0
chr1_1677331_1678431,33.0
chr1_1821910_1823010,85.0
chr1_1822395_1823495,45.666666666666664
chr1_1850612_1851712,321.0
chr1_1949780_1950880,47.0
chr1_1980909_1982009,65.33333333333333
chr1_1981409_1982509,81.5
chr1_2120237_2121337,167.0
chr1_2142962_2144062,110.0
chr1_2143913_2145013,62.0
chr1_2144059_2145159,62.0
chr1_2145520_2146620,23.0
chr1_2159134_2160234,154.5
chr1_2309699_2310799,17.0
chr1_2322267_2323367,100.5
chr1_2323046_2324146,97.0
chr1_2345136_2346236,37.333333333333336
chr1_2425818_2426918,134.0
chr1_2457939_2459039,48.0
chr1_2461584_2462684,28.0
chr1_2476904_2478004,76.0
chr1_2486078_2487178,27.0
chr1_2496849_2497949,14.0
chr1_2516930_2518030,98.0
chr1_2984732_2985832,29.0
chr1_2984901_2986001,29.0
chr1_3369990_3371090,54.0
chr1_3527959_3529059,30.0
chr1_3540566_3541666,60.0
chr1_3541207_3542307,62.666666666666664
chr1_3568084_3569184,13.0
chr1_563442_564542,83.0
chr1_564020_565120,83.0
chr1_564290_565390,75.5
chr1_565454_566554,79.0
chr1_567137_568237,101.0
chr1_567915_569015,76.0
chr1_568076_569176,76.0
chr1_568756_569856,20684.0
chr1_713150_714250,247.0
chr1_713906_715006,247.0
chr1_751751_752851,32.5
chr1_761988_763088,49.0
chr1_762802_763902,67.0
chr1_812183_813283,9.0
chr1_839214_840314,69.0
chr1_845815_846915,102.0
chr1_856296_857396,54.0
chr1_894589_895689,89.0
chr1_894967_896067,43.0
chr1_900877_901977,45.5
chr1_935452_936552,78.5
chr1_947803_948903,61.0
chr1_948473_949573,61.0
chr1_954503_955603,53.333333333333336
chr1_994114_995214,59.5
chr1_998568_999668,92.0
