name_E,H4k20me1_E
chr10_1100843_1101035,1.9472599999999998
chr10_1112826_1113160,1.9472599999999998
chr10_1240958_1241356,1.659288
chr10_1336083_1336245,2.0342290000000003
chr10_2939911_2940338,1.530821
chr10_2949589_2949730,1.530821
chr10_2951238_2951396,1.530821
chr10_3028046_3028193,1.530821
chr10_3078434_3078646,1.530821
chr10_3094057_3094288,1.530821
chr10_3133662_3133717,1.530821
chr10_3137708_3138098,1.530821
chr10_3145163_3145536,1.530821
chr10_3216614_3216797,1.530821
chr10_3283578_3283803,1.530821
chr10_3284966_3285255,1.530821
chr10_3306877_3306999,1.530821
chr10_431640_432008,1.707928
chr10_4891874_4892173,1.639535
chr10_500969_501047,1.9682169999999999
chr10_5553514_5553674,1.7671419999999998
chr10_556579_556951,2.0531330000000003
chr10_557102_557353,2.0531330000000003
chr10_5576341_5576485,1.7671419999999998
chr10_5577499_5577735,1.7671419999999998
chr10_5587810_5588190,1.9933459999999998
chr10_5588881_5589169,1.9933459999999998
chr10_5590010_5590295,1.9933459999999998
chr10_5590959_5591270,1.9933459999999998
chr10_5593718_5593999,1.9933459999999998
chr10_5596279_5596669,1.9933459999999998
chr10_5607602_5608000,1.9933459999999998
chr10_5638863_5639270,1.9933459999999998
chr1_100512510_100512716,1.7169720000000002
chr1_100820585_100820838,1.8741729999999999
chr1_100996437_100996829,2.119055
chr1_101000887_101001063,2.119055
chr1_10556105_10556527,1.992952
chr1_10557233_10557456,1.992952
chr1_10558276_10558621,1.992952
chr1_10585199_10585569,1.992952
chr1_10695291_10695734,1.8531009999999999
chr1_10700424_10700580,1.8531009999999999
chr1_10726049_10726261,1.8531009999999999
chr1_10757179_10757344,1.8531009999999999
chr1_10766390_10766837,1.8531009999999999
chr1_10804844_10805001,1.8148285
chr1_10813352_10813797,1.8148285
chr1_10816030_10816223,1.8148285
chr1_108478082_108478329,1.197656
chr1_108479405_108480123,1.197656
chr1_108483614_108484145,1.197656
chr1_10849807_10850141,1.776556
chr1_10853986_10854555,1.776556
chr1_108581319_108581798,1.197656
chr1_108584121_108584359,1.197656
chr1_108584447_108584892,1.197656
chr1_108593971_108594173,1.197656
chr1_108594435_108594579,1.197656
chr1_108595513_108595797,1.197656
chr1_108595998_108596525,1.197656
chr1_108600214_108600460,1.197656
chr1_108606399_108606634,1.197656
chr1_108617640_108617970,1.197656
chr1_108622242_108622251,1.197656
chr1_108643279_108643407,1.197656
chr1_108650339_108650754,1.197656
chr1_108661190_108661332,1.197656
chr1_109104473_109104583,1.7267549999999998
chr1_10927237_10927380,1.776556
chr1_109800134_109800539,1.448127
chr1_109841804_109842152,1.448127
