name_E,Ctcf_E
chr10_1100843_1101035,1.707387
chr10_3137708_3138098,2.084177
chr10_3509617_3509911,16.752434
chr10_3510310_3510716,16.752434
chr10_3848037_3849536,4.025545
chr10_3928866_3929216,5.686668
chr10_3929991_3930887,18.960819
chr10_4813646_4813900,14.389219
chr10_4891874_4892173,124.667864
chr10_5336164_5336286,36.707039
chr10_556579_556951,73.7827
chr10_557102_557353,73.7827
chr10_5590010_5590295,4.036126
chr10_5590959_5591270,4.036126
chr10_830904_831008,14.402392
chr1_100113534_100114036,33.362877
chr1_101774729_101775525,36.838556
chr1_10269964_10270260,65.689611
chr1_10853986_10854555,12.031675
chr1_109104473_109104583,21.234972
chr1_10927237_10927380,40.394647
chr1_1093610_1093958,9.757832
chr1_109800134_109800539,5.745057
chr1_110160052_110160461,15.407103
chr1_110333273_110333688,46.551895
chr1_110334849_110335164,20.722818
chr1_110420039_110420145,9.418894
chr1_112050044_112050594,68.030773
chr1_112058341_112058601,28.222652
chr1_112058803_112059167,28.222652
chr1_112276731_112276883,4.012566
chr1_112901525_112901779,45.646806
chr1_113584893_113585079,27.106548
chr1_113683682_113683919,60.329045
chr1_11376903_11377179,1.660143
chr1_114575620_114575801,13.173073
chr1_116088478_116088732,29.709669
chr1_116370977_116371565,3.980532
chr1_117112460_117112738,41.48901
chr1_117421623_117422020,4.332664
chr1_11968510_11969143,18.137564
chr1_12243852_12244671,26.245203
chr1_12599928_12600179,11.838886
chr1_14054762_14055166,2.088937
chr1_142538903_142539547,6.398707
chr1_144533627_144534178,2.442831
chr1_144536201_144536370,2.442831
chr1_144871122_144871347,2.086326
chr1_144908312_144908601,2.086326
chr1_144908806_144909147,2.086326
chr1_144927217_144927550,7.7342474999999995
chr1_144986415_144987071,2.086326
chr1_144987154_144987391,2.086326
chr1_144988079_144988414,2.086326
chr1_145009158_145009716,2.086326
chr1_145012331_145013054,2.086326
chr1_145023690_145024549,2.086326
chr1_145042783_145043227,2.086326
chr1_145054975_145055306,2.086326
chr1_145058996_145059322,34.37033733333333
chr1_145064438_145064839,2.086326
chr1_145090155_145090603,2.086326
chr1_145092450_145092883,6.825582
chr1_145113904_145114998,2.086326
chr1_145455122_145455741,15.138055
chr1_147775754_147775884,1.273222
chr1_147806841_147807184,1.273222
chr1_148000699_148000802,10.580781
chr1_150159099_150159241,11.533363
chr1_150185878_150186128,8.0630415
chr1_150592182_150592667,22.303616
chr1_151809390_151809745,42.45099
chr1_152006910_152007460,42.157406
chr1_152007615_152008057,25.729244
chr1_153504746_153504953,32.317223
chr1_153541018_153541368,88.020533
chr1_153583449_153583810,4.095677
chr1_154299137_154299452,29.842134
chr1_154910155_154910399,14.775266
chr1_154972628_154972915,6.746864
chr1_154973036_154973200,6.746864
chr1_154973335_154973935,6.746864
chr1_154977099_154977253,6.746864
chr1_154978035_154978657,6.746864
chr1_154979104_154979305,6.746864
chr1_155944562_155945214,2.27692
chr1_155945743_155946196,2.27692
chr1_155946363_155946660,2.27692
chr1_156066868_156067143,65.849892
chr1_156073142_156073699,4.027803
chr1_156073854_156074351,4.027803
chr1_156074715_156075305,4.027803
chr1_156426931_156427503,10.136133
chr1_156468556_156468776,3.601282
chr1_156472693_156472952,3.601282
chr1_156473111_156473378,3.601282
chr1_156474686_156475018,3.601282
chr1_15649550_15649749,77.359387
chr1_156586355_156586564,10.767263
chr1_156629760_156630406,109.49829
chr1_156676478_156676824,23.060262
chr1_157106691_157107326,1.889048
chr1_157964633_157965029,12.632332
chr1_159798443_159799254,20.001819
chr1_159859603_159860031,5.818334
chr1_160989381_160990254,9.285803
chr1_161170260_161170636,5.54291
chr1_161170933_161171185,5.54291
chr1_161352257_161352597,22.007025
chr1_162603017_162603226,18.877897
chr1_16478939_16479163,2.544716
chr1_16479299_16479465,2.544716
chr1_165797615_165798367,9.649277
chr1_167683554_167683813,27.902937
chr1_168050664_168051125,35.920134
chr1_168338134_168338331,1.251165
chr1_168368318_168368620,1.251165
chr1_17023723_17023998,11.645928
chr1_17027024_17027386,13.5068315
chr1_170633923_170634526,16.192563
chr1_1714020_1714715,2.013776
chr1_172291507_172291926,14.399907
chr1_17231253_17231704,3.78116
chr1_172878579_172879356,1.776049
chr1_172882769_172883147,1.776049
chr1_173398914_173399297,28.235428
chr1_175094142_175094504,47.531483
chr1_175568488_175568642,4.018478
chr1_177150553_177151051,31.870051
chr1_178252303_178252477,27.227151
chr1_179555221_179555646,17.997154
chr1_180200315_180200683,2.011799
chr1_181104473_181105818,19.22951
chr1_181122099_181122260,21.733353
chr1_181998739_181999134,12.620908
chr1_183149947_183150219,12.444771
chr1_183549376_183549721,14.23635
chr1_183578502_183578873,26.138626
chr1_184005350_184005919,4.051445
chr1_1840449_1840835,21.857543
chr1_19248887_19249092,6.145256
chr1_19253034_19253391,5.8464279999999995
chr1_192549613_192549895,18.670098
chr1_19276270_19276542,9.924836
chr1_192776947_192777226,14.869077
chr1_197513718_197513772,1.272552
chr1_201139670_201140154,13.000026
chr1_201500233_201500477,54.7956
chr1_201515368_201515617,15.041973
chr1_201639932_201640262,11.709398
chr1_202161674_202161898,48.366503
chr1_203296328_203297068,17.765263
chr1_203297101_203297334,17.765263
chr1_203643182_203643803,24.110491
chr1_204071387_204071653,6.521859
chr1_204332438_204332553,65.080312
chr1_204430759_204431008,5.753361
chr1_204449745_204450007,2.046616
chr1_2059932_2059994,3.476474
chr1_206748515_206748888,11.869176
chr1_206763465_206763687,14.984163
chr1_206832398_206832801,30.7131395
chr1_207080273_207080661,8.56171
chr1_207997315_207997832,29.224461
chr1_208335369_208335711,1.637838
chr1_208339104_208339123,1.637838
chr1_208377298_208378003,4.327253
chr1_208412497_208412696,26.103862
chr1_208418631_208418859,23.642175
chr1_209921200_209921357,91.052863
chr1_209978699_209978810,14.919825
chr1_210056461_210057439,4.132729
chr1_211688648_211688771,49.989418
chr1_211823764_211823781,4.114014
chr1_212458080_212458253,5.314904
chr1_212650622_212650921,62.193278
chr1_212769584_212769966,50.085312
chr1_21558552_21558736,43.855424
chr1_21588829_21589430,5.417597
chr1_2162325_2162996,2.212404
chr1_21643831_21644195,3.109488
chr1_21649091_21649481,8.226766
chr1_21650806_21651685,3.109488
chr1_21660622_21661187,24.9587275
chr1_21663991_21664182,3.109488
chr1_21664400_21664833,3.109488
chr1_21664947_21665143,3.109488
chr1_2171824_2171946,2.212404
chr1_2172142_2172385,2.212404
chr1_218847947_218848245,14.822023
chr1_221049992_221050390,2.6055
chr1_221050798_221050949,2.6055
chr1_221916049_221916599,15.566746
chr1_2221868_2222548,8.445765
chr1_22231370_22231630,3.184157
chr1_22232811_22232851,3.184157
chr1_22235836_22236001,3.184157
chr1_22260274_22260656,2.873004
chr1_222638782_222639204,88.632066
chr1_22266159_22266438,16.1653045
chr1_22275479_22275551,2.873004
chr1_2230678_2230895,2.032415
chr1_2231691_2232185,2.032415
chr1_2232428_2232896,2.032415
chr1_22345590_22345859,16.376781
chr1_22366226_22366841,10.767263
chr1_223892678_223892997,5.78739
chr1_223901276_223901546,5.78739
chr1_223903033_223903347,9.232115499999999
chr1_223904365_223904567,5.78739
chr1_2246556_2246763,11.528645000000001
chr1_224690718_224691054,11.803288
chr1_224691192_224691563,11.803288
chr1_2253622_2253773,2.032415
chr1_2254081_2254230,7.559031
chr1_225934674_225934968,8.406747
chr1_226297611_226298113,13.681084
chr1_226388791_226388905,15.566746
chr1_228273480_228273740,2.850781
chr1_228651177_228651630,14.636748
chr1_228688608_228688902,68.66244
chr1_229692979_229693368,29.235527
chr1_230220475_230220731,3.729956
chr1_230240540_230240902,11.065892
chr1_231347338_231347496,47.894336
chr1_231860737_231860947,26.984621
chr1_23426690_23427100,4.5687545
chr1_23429944_23430077,3.08614
chr1_234746093_234747674,13.282957
chr1_234987212_234987644,10.130268
chr1_235110834_235111403,2.367214
chr1_235112749_235113173,2.367214
chr1_235114050_235115068,6.319308
chr1_235120162_235120433,2.367214
chr1_235122652_235122939,2.367214
chr1_235246558_235246857,75.320407
chr1_235267591_235267744,73.946492
chr1_236135691_236135959,49.848228
chr1_236162583_236163199,10.877583
chr1_23882500_23882866,6.957966
chr1_23888678_23889201,10.261757
chr1_23961555_23961694,65.304027
chr1_241771916_241772216,6.207766
chr1_244462616_244463099,71.117578
chr1_244512430_244512879,4.072834
chr1_245082176_245082355,6.089994
chr1_246772310_246772610,13.375221
chr1_246862505_246862699,63.735861
chr1_247123303_247123617,15.901652
chr1_247553531_247554143,43.807312
chr1_2478276_2478817,12.256718
chr1_24970685_24970736,12.938562
chr1_2509702_2510198,17.247445
chr1_25566195_25566411,32.260587
chr1_25566618_25566670,32.260587
chr1_2574343_2574764,9.712865
chr1_25942744_25943208,15.635868
chr1_26249033_26249281,2.127524
chr1_26253326_26253427,2.127524
chr1_26827232_26827869,48.289542
chr1_26946837_26947249,49.704454999999996
chr1_26947342_26948198,25.5254275
chr1_27626897_27627231,70.1587
chr1_27691785_27692261,4.982514
chr1_27762936_27763307,1.721522
chr1_27848725_27849287,3.87181
chr1_27924204_27924421,5.357771
chr1_27935491_27936061,23.421002
chr1_28439074_28439949,18.143002
chr1_29451057_29451462,25.785857
chr1_29563709_29564430,3.210966
chr1_29565515_29565732,3.210966
chr1_29565762_29566055,3.210966
chr1_31401933_31402089,39.336259
chr1_32015159_32015590,46.905431
chr1_32180603_32180986,45.771082
chr1_32253647_32254040,17.173784
chr1_3237165_3237518,29.284521
chr1_32405536_32405898,21.569944
chr1_32420307_32420572,3.268182
chr1_32421622_32422096,8.026505
chr1_32423598_32423720,3.268182
chr1_32966228_32966602,7.189685000000001
chr1_33077721_33078012,9.660448
chr1_3420761_3421065,5.66698
chr1_36626561_36626969,17.212258
chr1_36839449_36839891,4.183262
chr1_36840093_36840535,4.183262
chr1_37169397_37169618,59.509647
chr1_37942874_37943354,16.513254
chr1_3817648_3818071,13.576114
chr1_38465723_38465839,4.15755
chr1_39598673_39599090,39.031327
chr1_39857791_39857995,2.071462
chr1_39874208_39874673,5.622713
chr1_41981831_41982007,52.971087
chr1_42356899_42357259,14.323423
chr1_44703858_44704161,28.065748
chr1_45195062_45195154,43.3350145
chr1_46268583_46268737,13.246996
chr1_46689426_46689696,50.826787
chr1_46999025_46999241,32.746622
chr1_47677583_47677805,1.709613
chr1_47690580_47690745,2.116228
chr1_47800262_47800514,11.702263
chr1_49038282_49038602,16.201683
chr1_54739679_54739787,15.584535
chr1_54953784_54954325,13.849826
chr1_55411305_55411465,47.597121
