name_E,H3k9ac_E
chr10_1100843_1101035,9.0040715
chr10_1112826_1113160,5.728507
chr10_2256285_2256680,3.668019
chr10_3133662_3133717,8.969041
chr10_3137708_3138098,8.405122
chr10_3497590_3497951,5.286214
chr10_3509617_3509911,19.343626
chr10_3510310_3510716,19.343626
chr10_3511181_3511689,19.343626
chr10_3524547_3524820,9.615821
chr10_3528683_3528786,9.077386
chr10_3542742_3543014,6.106028
chr10_3710838_3711066,17.009342
chr10_3782727_3783283,3.875926
chr10_3797195_3797502,8.1323755
chr10_3800307_3800531,8.1323755
chr10_3807382_3807563,9.8689035
chr10_3811743_3812009,6.242971
chr10_3845250_3845852,18.929876
chr10_3845999_3846426,18.929876
chr10_3846443_3847038,18.929876
chr10_3848037_3849536,18.929876
chr10_3850308_3850795,18.929876
chr10_3852273_3852886,18.929876
chr10_3853393_3854169,18.929876
chr10_3870489_3871262,9.110516
chr10_3893365_3894190,7.3100545
chr10_3899382_3899877,4.443675
chr10_3928866_3929216,9.565606
chr10_3929991_3930887,9.565606
chr10_3932191_3932411,3.735684
chr10_3936015_3936390,3.735684
chr10_3938329_3938538,3.735684
chr10_3944367_3944901,3.735684
chr10_4172866_4173257,6.907068
chr10_4173688_4174411,6.907068
chr10_4289203_4289519,8.531749
chr10_4358748_4358982,8.630479
chr10_4386754_4387085,12.820997
chr10_4396174_4396330,17.455966
chr10_4705159_4705783,16.051875
chr10_4711881_4712067,20.219883
chr10_4712833_4713220,20.219883
chr10_4728868_4729211,21.682016
chr10_4813646_4813900,14.649521666666667
chr10_4989909_4990226,3.744665
chr10_5113786_5114179,4.035401
chr10_5333644_5334212,11.8233965
chr10_5334474_5334640,9.21543
chr10_5576341_5576485,11.078622
chr10_5577499_5577735,11.078622
chr10_5587810_5588190,17.534758
chr10_5588881_5589169,17.534758
chr10_5590010_5590295,17.534758
chr10_5590959_5591270,17.534758
chr10_5593718_5593999,17.534758
chr10_5596279_5596669,17.534758
chr10_5607602_5608000,17.45104
chr10_5638863_5639270,13.638285
chr1_100113534_100114036,15.597645
chr1_10127211_10127315,14.287023
chr1_101725356_101725679,9.909086
chr1_10269964_10270260,13.903278
chr1_10556105_10556527,14.791
chr1_10557233_10557456,14.791
chr1_10695291_10695734,12.567132
chr1_10849807_10850141,1.493208
chr1_10853986_10854555,1.493208
chr1_108741685_108742156,9.588568
chr1_109246671_109246905,3.907443
chr1_109262615_109262764,6.661036
chr1_10927237_10927380,1.493208
chr1_1093610_1093958,12.255932
chr1_10960432_10960567,4.9716655
chr1_109800134_109800539,4.53815
chr1_109841804_109842152,6.412494
chr1_109842394_109842833,6.412494
chr1_109913179_109913623,3.619057
chr1_110335775_110336041,3.872184
chr1_110363861_110364229,5.50335
chr1_110454846_110455290,5.371314
chr1_110879130_110879445,18.699539
chr1_111735402_111735659,4.6147855
chr1_111735691_111736003,4.6147855
chr1_111764327_111764759,5.724679
chr1_112050044_112050594,4.035197
chr1_112135698_112135869,3.857377
chr1_112163412_112163797,12.616508
chr1_112163826_112164071,12.616508
chr1_113086746_113087141,13.71284
chr1_113584893_113585079,7.420722
chr1_114575620_114575801,16.408858
chr1_115052481_115052766,15.757091
chr1_115605190_115605611,4.070757
chr1_115605746_115606114,8.468975499999999
chr1_115732772_115733197,5.397002
chr1_116088478_116088732,5.1614755
chr1_116520279_116520650,16.209693
chr1_116918925_116919548,15.962752
chr1_116920378_116921129,15.962752
chr1_117046366_117046546,1.994409
chr1_117047053_117047428,1.994409
chr1_117050808_117051139,1.994409
chr1_117051576_117051921,1.994409
chr1_117074509_117074935,2.471447
chr1_117080047_117080432,2.471447
chr1_117081238_117081452,4.1628655
chr1_117082797_117083071,2.471447
chr1_117100772_117101124,2.471447
chr1_117111804_117112156,7.101858
chr1_117112460_117112738,7.101858
chr1_117421623_117422020,8.398741
chr1_117422443_117422644,8.398741
chr1_117424835_117425013,3.561417
chr1_117533270_117533527,6.334186
chr1_11968510_11969143,12.18599
chr1_120255895_120256325,13.954651
chr1_12493313_12493712,3.887321
chr1_12493910_12494304,3.887321
chr1_12533412_12533678,1.636404
chr1_12546528_12546819,1.636404
chr1_12609717_12610039,9.710711
chr1_12675687_12675874,16.862009
chr1_14027926_14028325,2.014981
chr1_14029077_14029879,2.014981
chr1_142538903_142539547,9.684091
chr1_144533627_144534178,21.3378665
chr1_144536201_144536370,4.146983
chr1_144871122_144871347,1.623806
chr1_144908312_144908601,9.307568
chr1_144908806_144909147,9.307568
chr1_144927217_144927550,18.727883
chr1_144987154_144987391,15.848446
chr1_144988079_144988414,12.21832
chr1_145009158_145009716,7.818554
chr1_145012331_145013054,6.366747
chr1_145042783_145043227,7.67266
chr1_145054975_145055306,4.107624
chr1_145058996_145059322,4.107624
chr1_145064438_145064839,4.107624
chr1_145090155_145090603,4.107624
chr1_145092450_145092883,9.9306875
chr1_145113904_145114998,8.7234425
chr1_145226678_145226829,5.133213
chr1_145437595_145437817,14.306349
chr1_145454760_145454851,10.736302
chr1_145455122_145455741,15.409242666666666
chr1_146764405_146764804,3.427495
chr1_147775754_147775884,7.172131
chr1_147806841_147807184,14.671518
chr1_149215297_149215704,9.6040245
chr1_149981648_149981889,17.286231
chr1_150135231_150135764,14.329991
chr1_150185878_150186128,9.988935
chr1_150294873_150295138,19.125829
chr1_150577042_150577503,10.346334
chr1_150585815_150586394,13.021601
chr1_150592182_150592667,5.047803
chr1_15059594_15059681,8.854513
chr1_150600412_150600701,10.308563
chr1_150949569_150950014,5.202694
chr1_151166314_151166527,9.167678
chr1_151168297_151168505,13.0050515
chr1_151172142_151172526,19.0240735
chr1_151172620_151173197,19.0240735
chr1_151284018_151284391,5.672198
chr1_151485676_151485841,10.211764
chr1_151486181_151486300,10.211764
chr1_151809390_151809745,4.696143
chr1_151913142_151913275,9.02056
chr1_151913574_151913780,9.02056
chr1_151913815_151914271,9.02056
chr1_151916920_151917624,18.049686
chr1_151918898_151919222,18.049686
chr1_151945068_151945221,12.728837
chr1_151960875_151961433,30.72077
chr1_151961675_151962369,30.72077
chr1_151968368_151968560,30.72077
chr1_152006910_152007460,43.057164
chr1_152007615_152008057,43.057164
chr1_152010545_152011004,43.057164
chr1_152022022_152022514,13.709408
chr1_15240254_15240560,9.002588
chr1_153358841_153359368,3.0162180000000003
chr1_153361312_153361704,2.057375
chr1_153541018_153541368,34.03485
chr1_153583449_153583810,24.319801
chr1_153936554_153936861,11.659594
chr1_154154606_154155027,15.390721
chr1_154391539_154392211,13.077053
chr1_154392646_154393050,13.077053
chr1_154404273_154404562,13.427156
chr1_154405181_154405498,12.471281
chr1_154579303_154579782,15.43889
chr1_154582047_154582244,15.43889
chr1_154910155_154910399,23.035512
chr1_154972628_154972915,7.906326
chr1_154973036_154973200,7.906326
chr1_154973335_154973935,7.906326
chr1_154977099_154977253,7.906326
chr1_154978035_154978657,7.906326
chr1_155098409_155098801,17.705707
chr1_15519488_15519688,1.657543
chr1_155535083_155535193,15.531218
chr1_155620238_155620623,9.371392
chr1_155944562_155945214,17.804202
chr1_155945743_155946196,17.804202
chr1_155946363_155946660,17.804202
chr1_156066868_156067143,16.572946
chr1_156073142_156073699,14.281866
chr1_156073854_156074351,14.281866
chr1_156074715_156075305,14.281866
chr1_156089405_156089622,21.714941
chr1_156095033_156095181,21.714941
chr1_156251648_156251762,14.730454
chr1_156426931_156427503,14.822185
chr1_156468556_156468776,13.466475
chr1_156472693_156472952,11.392148
chr1_156473111_156473378,11.392148
chr1_156474686_156475018,12.915605
chr1_156541089_156541488,14.310382
chr1_156629760_156630406,8.617789
chr1_156718467_156719136,33.266743
chr1_156719450_156719815,33.266743
chr1_157106691_157107326,19.289199
chr1_15738146_15738632,7.3659055
chr1_15738661_15738986,2.92376
chr1_15742467_15743324,2.92376
chr1_157938818_157938961,11.877744
chr1_157964633_157965029,5.137228
chr1_157980631_157980890,5.214998666666666
chr1_157989414_157989935,6.065048666666667
chr1_158117571_158117948,9.034723
chr1_15946733_15946892,17.359764
chr1_159851477_159851987,10.18307
chr1_159880076_159880706,11.994585
chr1_159892447_159892988,16.5670565
chr1_159914077_159914586,6.72853
chr1_160182240_160182579,2.976427
chr1_16030221_16030623,14.760495
chr1_160377718_160378261,12.016478999999999
chr1_16087189_16087372,9.486935
chr1_160982920_160983992,9.639566
chr1_160989381_160990254,23.815916
chr1_161050902_161051096,4.4435435
chr1_161052363_161052546,7.0740099999999995
chr1_161170260_161170636,3.368016
chr1_161170933_161171185,3.368016
chr1_161177017_161177202,3.368016
chr1_16125579_16125747,9.10872
chr1_161352257_161352597,13.5309645
chr1_161359666_161360218,16.121049
chr1_161500608_161500899,12.106188666666668
chr1_16156384_16156536,14.750636
chr1_161582212_161582506,1.704527
chr1_161706477_161706712,4.516211
chr1_161709776_161710006,3.395365
chr1_16176617_16176801,27.327971
chr1_16212759_16213091,13.341728499999999
chr1_162511455_162511984,3.797735
chr1_162599583_162599804,1.710163
chr1_162603017_162603226,1.710163
chr1_16276028_16276482,13.696958
chr1_16277350_16278224,13.696958
chr1_163005587_163006022,4.649273
chr1_163006587_163006657,4.649273
chr1_164734934_164735098,1.694237
chr1_164736884_164737252,1.694237
chr1_164750243_164750515,1.694237
chr1_16478939_16479163,13.763378
chr1_16479299_16479465,13.763378
chr1_16499761_16499895,13.008327
chr1_16502532_16502678,13.090795
chr1_16508402_16508642,9.519118
chr1_165797615_165798367,16.854059
chr1_165823413_165823808,4.951371
chr1_165868061_165868423,5.6272590000000005
chr1_16677236_16677843,16.520775
chr1_167423404_167424221,4.08872
chr1_167424728_167425462,4.08872
chr1_167635730_167635903,7.374511
chr1_167683554_167683813,13.34612
chr1_167766380_167766616,4.40308
chr1_168050664_168051125,5.363413
chr1_168149052_168149361,16.645317
chr1_168440429_168440721,11.680766
chr1_168446219_168446589,10.487012
chr1_169071998_169072131,6.922968
chr1_170677232_170677374,3.782836
chr1_171189238_171189444,8.533877
chr1_171407653_171408026,3.680914
chr1_171712214_171712716,21.000251
chr1_172291507_172291926,16.649606
chr1_17231253_17231704,83.101826
chr1_172327558_172328156,14.390132
chr1_172606833_172606931,9.063771
chr1_172715484_172715760,11.309622
chr1_172878579_172879356,8.4336555
chr1_172887147_172887473,1.923385
chr1_172888696_172888994,1.923385
chr1_172903010_172903534,11.918913
chr1_173091914_173092434,11.120766
chr1_173092552_173092771,11.120766
chr1_173398914_173399297,4.195683
chr1_173447359_173447668,12.10339
chr1_17494378_17494745,5.650623
chr1_17495208_17495390,5.650623
chr1_175160901_175161109,12.206983
chr1_176174471_176174980,13.816916
chr1_177896186_177896486,5.434528
chr1_178231351_178231525,5.856165
chr1_178252303_178252477,2.202613
chr1_179110934_179111289,17.550907
chr1_180554738_180554883,10.420226666666666
chr1_180580561_180580926,2.045841
chr1_181056649_181057124,14.2872675
chr1_181060502_181060611,14.2872675
