name_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k27me3_E,Ctcf_E,H3k4me1_E,H3k79me2_E,H3k27ac_E,H4k20me1_E,H3k9ac_E,Smc3_E,H3k36me3_E
chr10_1100843_1101035,24.991444,0.0,20.119845,0.0,0.0,6.965928999999999,7.568444,15.222563,2.393363,20.725546,0.0,11.527101666666667
chr10_2675804_2676168,15.360182,0.0,0.0,1.819734,0.0,4.437763,0.0,0.0,1.136786,0.0,0.0,0.0
chr10_3028046_3028193,6.322784,0.0375,3.746487,2.356999,0.0,5.114454,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3094057_3094288,13.723314000000002,0.0,13.293322,0.0,0.0,4.541707,0.0,12.311867,2.40235,0.0,0.0,0.0
chr10_3137708_3138098,15.256021,0.1269,10.577793,0.0,1.636436,4.541707,8.173663000000001,31.501663,0.0,20.459669,0.0,4.6152989999999985
chr10_3216614_3216797,15.285887,0.0,12.782423,3.085289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6152989999999985
chr10_3524547_3524820,14.927236,0.0585,0.0,2.053229,0.0,10.924842,0.0,0.0,2.199225,0.0,0.0,0.0
chr10_3568141_3568290,10.561671,0.0555,0.0,2.053229,0.0,7.842598,0.0,0.0,1.965251,0.0,0.0,0.0
chr10_3598970_3599136,14.470597,0.0248,5.518481,0.0,0.0,0.0,0.0,14.700976999999998,1.965251,0.0,0.0,0.0
chr10_3697757_3697968,14.196532,0.0,0.0,1.860019,0.0,5.184696,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3710838_3711066,15.629896,0.1031,9.477646,0.0,5.4199769999999985,11.961742,0.0,12.449206,0.0,6.425543,0.0,0.0
chr10_3782727_3783283,12.136932,0.0601,8.053965,0.0,0.0,7.550416,0.0,5.779824,0.0,0.0,0.0,0.0
chr10_3807382_3807563,13.969281,0.0489,13.174970000000002,0.0,0.0,7.431653499999999,0.0,7.696477000000002,1.560744,8.301718,0.0,2.973199
chr10_3845250_3845852,15.251139000000002,0.0304,9.179607,0.0,5.832391,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3845999_3846426,15.251139000000002,0.0302,9.179607,0.0,5.832391,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3846443_3847038,15.251139000000002,0.0,9.179607,0.0,0.0,8.236428,0.0,32.735589000000004,0.0,12.705155,3.42371,1.996782
chr10_3848037_3849536,15.251139000000002,0.036000000000000004,9.179607,0.0,0.0,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3850308_3850795,15.251139000000002,0.0,9.90039,3.578994,0.0,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3852273_3852886,15.251139000000002,0.0426,9.90039,0.0,3.535797,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3853393_3854169,15.251139000000002,0.0,9.90039,0.0,0.0,8.236428,0.0,32.735589000000004,0.0,12.705155,0.0,1.996782
chr10_3867491_3867713,3.546354,0.0294,0.0,0.0,0.0,5.8410925,0.0,0.0,0.0,4.221343,0.0,0.0
chr10_3870489_3871262,13.338825,0.0463,17.133544,0.0,0.0,5.8410925,0.0,16.738126,0.0,12.08881,0.0,6.8740645
chr10_3878027_3878387,10.315931,0.05,12.765809,0.0,1.662964,5.6308570000000016,0.0,8.041089,0.0,9.917924,0.0,0.0
chr10_3893365_3894190,10.719512,0.0,8.686777000000001,0.0,0.0,7.164314500000001,0.0,13.745174,0.0,8.13663,0.0,0.0
chr10_3928866_3929216,16.359813,0.0,2.426467,0.0,0.0,5.9554675,0.0,0.0,0.0,3.255219,0.0,0.0
chr10_3932191_3932411,8.64625,0.0,2.426467,0.0,0.0,5.9554675,0.0,7.319845,0.0,4.858247,0.0,0.0
chr10_3936015_3936390,11.619186,0.0,2.426467,0.0,0.0,5.9554675,0.0,4.826526,0.0,8.709406,0.0,0.0
chr10_3984866_3985563,12.835221,0.0,0.0,0.0,8.817307000000003,9.448312,0.0,5.241517,0.0,0.0,0.0,0.0
chr10_4705159_4705783,11.668692,0.0635,5.532845,1.658221,0.0,11.280793,0.0,6.761209,1.124652,4.71554,0.0,0.0
chr10_4855217_4855416,5.232227,0.0419,0.0,0.0,0.0,7.122266999999999,0.0,3.926372,0.0,0.0,0.0,2.66243
chr10_4891874_4892173,16.061122,0.0901,8.483607000000001,0.0,115.735616,13.111921,3.222488,34.182928000000004,0.0,11.232872,17.65914,2.66243
chr10_5113786_5114179,15.980016,0.0954,8.605255999999999,0.0,0.0,10.932014,0.0,40.37603,0.0,12.981178,0.0,5.879787
chr10_5333644_5334212,16.927701000000006,0.0834,3.5875324999999996,0.0,0.0,12.074708,0.0,17.868661,0.0,9.388852,0.0,1.891482
chr10_5359534_5359986,10.672932,0.0757,0.0,0.0,0.0,10.33797,0.0,12.312641000000001,0.0,4.157959,0.0,0.0
chr10_5588881_5589169,12.853392,0.0,2.836954,0.0,1.722754,10.446526,0.0,4.069833,1.50033,5.507239,0.0,0.0
chr10_5590010_5590295,12.853392,0.0,6.052505,0.0,1.722754,10.446526,0.0,9.1496245,1.50033,5.507239,0.0,0.0
chr10_5590959_5591270,12.853392,0.1924,6.052505,0.0,1.722754,10.446526,4.147854,9.1496245,1.50033,5.507239,3.01021,0.0
chr10_5593718_5593999,13.534026999999998,0.1132,2.836954,0.0,1.722754,10.446526,0.0,4.069833,1.50033,0.0,0.0,0.0
chr10_5596279_5596669,5.509743,0.0,2.836954,0.0,1.722754,10.446526,0.0,4.069833,1.50033,0.0,0.0,0.0
chr10_5888274_5888577,12.070481,0.0,0.0,0.0,0.0,7.470503999999999,0.0,0.0,0.0,7.927575,0.0,0.0
chr1_100000188_100000393,4.765984,0.0,0.0,0.0,0.0,6.048231,0.0,0.0,0.0,3.575394,0.0,0.0
chr1_100113534_100114036,14.092487,0.0452,9.670508,0.0,19.117451000000006,5.416693,3.443992,9.957174,0.0,10.917062,4.34969,0.0
chr1_100169951_100170218,4.751585,0.0,0.0,0.0,0.0,5.2256300000000016,0.0,0.0,0.0,0.0,0.0,3.504035
chr1_1005293_1005547,10.081361,0.5019,6.659984,0.0,0.0,5.576514,0.0,3.317273,1.760547,6.708567,0.0,0.0
chr1_100820585_100820838,14.036718,0.0399,10.859723,0.0,0.0,6.523381,6.111813,7.83523,1.783438,9.0435175,0.0,3.744142
chr1_100827551_100827774,13.319219,0.0,9.6427605,0.0,0.0,6.523381,6.111813,7.83523,1.783438,9.8303885,0.0,3.744142
chr1_100828525_100828922,13.319219,0.1346,9.6427605,0.0,0.0,6.523381,6.111813,7.83523,1.783438,9.8303885,0.0,3.744142
chr1_100905821_100906168,10.880832,0.0815,3.142824,0.0,0.0,6.965455,6.111813,4.0800839999999985,1.783438,2.8449470000000003,0.0,3.744142
chr1_10127211_10127315,8.108036,0.0309,7.122414999999998,0.0,0.0,9.248133,5.3413010000000005,8.601428,1.988155,6.745761999999999,0.0,3.150884
chr1_1014834_1015095,12.54675,0.2122,8.743611999999999,0.0,0.0,8.565114999999999,0.0,5.541582,1.760547,10.025632,0.0,0.0
chr1_10269964_10270260,23.585623,0.3747,16.612959,1.930257,27.842465,0.0,4.537215,7.283767,1.988155,7.9056479999999985,17.40146,0.0
chr1_103126263_103126396,5.7857850000000015,0.0467,8.825083,0.0,0.0,0.0,0.0,6.465502666666667,0.0,6.731255,0.0,0.0
chr1_108622242_108622251,11.57871,0.2019,10.198863,2.01791,0.0,7.108304,0.0,0.0,1.208395,0.0,0.0,0.0
chr1_108741685_108742156,24.328018,0.0242,18.371418,0.0,4.472649,4.335344,5.949751999999999,8.924167,1.767679,12.442002,0.0,2.215237
chr1_109100040_109100237,10.4936075,0.0,4.270969,0.0,0.0,6.781000000000001,0.0,0.0,0.0,4.6722195,0.0,2.047313
chr1_109104473_109104583,16.1527005,0.0441,13.0332245,0.0,17.080878,6.781000000000001,6.220723,9.957004,3.846299,6.891335499999999,15.87638,2.047313
chr1_109127044_109127234,3.434447,0.0,4.46453,0.0,0.0,5.1921015000000015,3.4896540000000003,0.0,2.36412,2.677653,0.0,2.047313
chr1_109189516_109189718,4.577425,0.0,0.0,2.023586,0.0,7.807652,0.0,2.918847,0.0,0.0,0.0,0.0
chr1_109262615_109262764,8.396744,0.0316,0.0,2.384525,0.0,6.828979,0.0,3.858684,3.81818,6.192831,0.0,0.0
chr1_10927237_10927380,4.775704,0.1989,7.086219,2.580377,17.232685999999998,0.0,0.0,0.0,1.988155,0.0,26.507790000000004,0.0
chr1_1093610_1093958,23.484675,0.5457,16.408804999999994,0.0,0.0,4.701251,0.0,19.339045,1.790919,17.527932,0.0,0.0
chr1_109841804_109842152,10.604192,0.0,4.34396,1.632362,0.0,4.711192,0.0,8.448716000000001,1.876137,8.072667,0.0,4.539427
chr1_109933790_109934137,18.759479,0.0,12.990334,0.0,1.956151,8.451849000000001,16.116168,18.284195,1.860581,10.247573,0.0,4.539427
chr1_109938897_109939079,18.759479,0.0,12.990334,0.0,1.956151,8.451849000000001,16.116168,18.284195,4.344608999999999,10.247573,0.0,4.539427
chr1_109981518_109981703,7.195702000000002,0.0519,0.0,2.474493,0.0,10.915515,0.0,9.333191,0.0,3.881619,0.0,0.0
chr1_110271520_110271826,1.55729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110333273_110333688,7.0703895,0.0872,0.0,0.0,11.69707,7.7324959999999985,0.0,6.282694,1.784161,4.624713,7.20418,0.0
chr1_110334849_110335164,5.180921499999999,0.0807,6.264874,0.0,11.69707,7.7324959999999985,0.0,6.282694,1.784161,4.624713,14.03676,0.0
chr1_110335775_110336041,5.180921499999999,0.0,5.307469,0.0,11.69707,7.7324959999999985,0.0,6.282694,1.784161,4.624713,0.0,0.0
chr1_110336950_110337403,5.180921499999999,0.0307,5.307469,0.0,0.0,7.7324959999999985,0.0,6.282694,1.784161,4.624713,0.0,0.0
chr1_110339466_110339959,5.300167,0.0451,4.250145,0.0,0.0,7.7324959999999985,0.0,10.788932,0.0,8.917475,0.0,0.0
chr1_110363861_110364229,12.253936,0.0255,2.685031,0.0,0.0,9.560521000000001,0.0,15.097315,0.0,8.3591095,0.0,0.0
chr1_110364881_110365302,12.253936,0.141,6.1652474999999995,0.0,0.0,9.560521000000001,0.0,15.097315,0.0,8.3591095,7.24949,0.0
chr1_110366477_110366702,12.253936,0.1107,6.013698000000001,0.0,3.131585,9.560521000000001,2.69491,15.097315,0.0,8.3591095,7.24949,4.358167
chr1_110406868_110407271,8.200372,0.0441,10.513114,0.0,0.0,5.5587754999999985,0.0,9.908984,0.0,6.371807,0.0,0.0
chr1_110444415_110444738,5.462986,0.1844,0.0,0.0,0.0,7.166852499999999,0.0,4.96314,0.0,3.031759,5.0746400000000005,0.0
chr1_110451717_110451917,8.029181,0.0,7.033284,0.0,3.55623,6.8445565,0.0,4.584823,1.51268,3.031759,0.0,2.6760330000000003
chr1_110454846_110455290,14.447729999999998,0.0,7.033284,0.0,3.55623,6.8445565,3.989796,4.584823,1.51268,6.886884500000002,0.0,2.6760330000000003
chr1_110879130_110879445,32.601032000000004,0.0,8.744758000000001,0.0,0.0,5.502102,12.803601,29.207501,3.1269240000000003,9.783527,0.0,4.431373000000002
chr1_110976504_110976901,8.577608,0.1184,4.865836,2.557199,14.735242,7.968553,0.0,0.0,2.273197,0.0,14.1365,0.0
chr1_111417124_111417532,14.132069,0.0,8.158636999999999,0.0,0.0,4.880259499999998,5.545928,18.547098,0.0,8.596103,0.0,2.30538
chr1_112050044_112050594,16.525007000000002,0.1348,14.022876,2.569427,39.226969,5.331323,0.0,21.541475,0.0,14.06052,9.2431,0.0
chr1_112058803_112059167,9.862284,0.0571,0.0,1.845056,22.283182,6.296759,0.0,0.0,0.0,0.0,0.0,0.0
chr1_112135698_112135869,9.822843,0.1216,5.7215669999999985,0.0,0.0,9.39067,0.0,11.239746,0.0,7.325347,0.0,1.53046
chr1_112163412_112163797,19.467691,0.0,15.319397,0.0,0.0,5.2820285,5.954054,13.187612,1.844565,9.1779975,0.0,2.595248
chr1_112163826_112164071,19.467691,0.0,15.319397,0.0,0.0,5.2820285,5.954054,13.187612,1.844565,9.1779975,0.0,2.595248
chr1_113584893_113585079,10.904572,0.0,5.320709,0.0,39.323248,11.13119,0.0,9.180188,0.0,0.0,9.99394,0.0
